,dice,presision,recall
before_mean,0.8215717753434344,0.9146802834242425,0.833481405959596
before_std,0.26664550618686994,0.16215696650639225,0.27480142720704814
after_mean,0.8847376273846155,0.950204352051282,0.8732221452478632
after_std,0.19724246692467376,0.08523169304049467,0.23353184464929558
difference,-0.06316585204118108,-0.035524068627039496,-0.03974073928826727
