Epoch,Time
1,828.5145375728607
2,789.7767155170441
3,790.3591392040253
4,790.515463590622
5,788.8609619140625
6,789.7614941596985
7,789.0821576118469
8,789.8416483402252
9,788.5784249305725
10,787.9867024421692
11,787.2185106277466
12,787.6765515804291
13,787.5905549526215
14,788.0461587905884
15,786.4384763240814
16,785.956782579422
17,786.852703332901
18,785.9346601963043
19,786.8104431629181
20,786.2792313098907
21,786.2514078617096
22,785.1029622554779
23,786.4903514385223
24,786.2420001029968
25,785.9852454662323
26,786.4114167690277
27,786.2715275287628
28,785.6394710540771
29,785.7843370437622
30,785.2523181438446
31,785.192937374115
32,785.3723015785217
33,785.084676027298
34,785.8060398101807
35,785.5449056625366
36,781.9283862113953
37,781.6075298786163
38,781.5103178024292
39,782.198676109314
40,782.3683953285217
41,781.539528131485
42,781.8104588985443
43,782.1193511486053
