Epoch,Time
1,1215.1353528499603
2,1174.4927906990051
3,1173.5911676883698
4,1173.2833387851715
5,1174.0388119220734
6,1170.904445886612
7,1173.1851222515106
8,1171.2388906478882
9,1172.5688004493713
10,1170.7777993679047
11,1172.4416604042053
12,1170.3129625320435
13,1172.0751178264618
14,1169.9245445728302
15,1170.5636126995087
16,1171.7038958072662
17,1169.7561292648315
18,1169.712482213974
19,1169.716950416565
20,1169.9869825839996
21,1170.320190191269
22,1169.228523492813
23,1170.10311961174
24,1170.0048699378967
25,1169.8030381202698
26,1170.038424730301
