Epoch,Time
1,747.2799966335297
2,709.6740362644196
3,709.5049073696136
4,709.3922605514526
5,708.3678801059723
6,709.8218657970428
7,708.6746346950531
8,708.7663564682007
9,708.9052968025208
10,709.7469382286072
11,708.7487518787384
12,708.815797328949
13,708.5340542793274
14,708.7909948825836
15,708.6332783699036
16,708.7734138965607
17,708.7177052497864
18,708.9298176765442
19,708.640373468399
20,708.78005194664
21,709.7970666885376
22,709.6533415317535
23,708.5977442264557
24,708.6485359668732
25,708.5979721546173
26,708.7061924934387
27,708.5458137989044
28,709.4353220462799
29,708.3023717403412
30,708.6756916046143
31,708.2375161647797
32,708.628942489624
33,709.0641589164734
34,708.5476472377777
35,708.3444902896881
36,708.3751742839813
37,708.091361284256
38,708.2123515605927
39,708.5187578201294
40,708.0881617069244
41,709.3624978065491
42,708.4175200462341
43,708.2992196083069
44,708.4211835861206
45,708.3996703624725
46,708.0878212451935
47,708.2229835987091
48,708.5573778152466
49,708.2762935161591
50,707.9977397918701
51,708.1830241680145
52,709.3418016433716
53,708.2730710506439
54,709.0154454708099
55,707.8060102462769
56,708.1595594882965
57,708.2712073326111
58,708.2081270217896
59,708.3526394367218
60,708.3999061584473
61,708.3323006629944
62,708.210871219635
63,708.2250444889069
64,708.3380470275879
65,708.1863255500793
66,707.9270145893097
67,707.9310204982758
68,708.0826072692871
69,709.713169336319
70,707.8665933609009
71,708.0324032306671
72,707.8817942142487
73,707.6121714115143
74,707.9678769111633
75,707.9689545631409
76,707.899965763092
77,708.1703186035156
78,708.1395967006683
79,707.8777532577515
80,707.9168937206268
81,707.9565291404724
82,707.6923999786377
83,707.2583918571472
84,707.8544466495514
85,707.881370306015
86,708.1048302650452
87,707.6821467876434
88,708.0684859752655
89,707.858877658844
