subject,slice,dice,presision,recall,hausdorff_distance
sub-r052s027_ses-1_space-MNI152NLin2009aSym_T1w.nii.gz,0,1.0,1.0,1.0,0.0
sub-r052s027_ses-1_space-MNI152NLin2009aSym_T1w.nii.gz,1,1.0,1.0,1.0,0.0
sub-r052s027_ses-1_space-MNI152NLin2009aSym_T1w.nii.gz,2,1.0,1.0,1.0,0.0
sub-r052s027_ses-1_space-MNI152NLin2009aSym_T1w.nii.gz,3,1.0,1.0,1.0,0.0
sub-r052s027_ses-1_space-MNI152NLin2009aSym_T1w.nii.gz,4,1.0,1.0,1.0,0.0
sub-r052s027_ses-1_space-MNI152NLin2009aSym_T1w.nii.gz,5,1.0,1.0,1.0,0.0
sub-r052s027_ses-1_space-MNI152NLin2009aSym_T1w.nii.gz,6,1.0,1.0,1.0,0.0
sub-r052s027_ses-1_space-MNI152NLin2009aSym_T1w.nii.gz,7,1.0,1.0,1.0,0.0
sub-r052s027_ses-1_space-MNI152NLin2009aSym_T1w.nii.gz,8,1.0,1.0,1.0,0.0
sub-r052s027_ses-1_space-MNI152NLin2009aSym_T1w.nii.gz,9,1.0,1.0,1.0,0.0
sub-r052s027_ses-1_space-MNI152NLin2009aSym_T1w.nii.gz,10,1.0,1.0,1.0,0.0
sub-r052s027_ses-1_space-MNI152NLin2009aSym_T1w.nii.gz,11,1.0,1.0,1.0,0.0
sub-r052s027_ses-1_space-MNI152NLin2009aSym_T1w.nii.gz,12,1.0,1.0,1.0,0.0
sub-r052s027_ses-1_space-MNI152NLin2009aSym_T1w.nii.gz,13,1.0,1.0,1.0,0.0
sub-r052s027_ses-1_space-MNI152NLin2009aSym_T1w.nii.gz,14,1.0,1.0,1.0,0.0
sub-r052s027_ses-1_space-MNI152NLin2009aSym_T1w.nii.gz,15,1.0,1.0,1.0,0.0
sub-r052s027_ses-1_space-MNI152NLin2009aSym_T1w.nii.gz,16,1.0,1.0,1.0,0.0
sub-r052s027_ses-1_space-MNI152NLin2009aSym_T1w.nii.gz,17,1.0,1.0,1.0,0.0
sub-r052s027_ses-1_space-MNI152NLin2009aSym_T1w.nii.gz,18,1.0,1.0,1.0,0.0
sub-r052s027_ses-1_space-MNI152NLin2009aSym_T1w.nii.gz,19,1.0,1.0,1.0,0.0
sub-r052s027_ses-1_space-MNI152NLin2009aSym_T1w.nii.gz,20,1.0,1.0,1.0,0.0
sub-r052s027_ses-1_space-MNI152NLin2009aSym_T1w.nii.gz,21,1.0,1.0,1.0,0.0
sub-r052s027_ses-1_space-MNI152NLin2009aSym_T1w.nii.gz,22,1.0,1.0,1.0,0.0
sub-r052s027_ses-1_space-MNI152NLin2009aSym_T1w.nii.gz,23,1.0,1.0,1.0,0.0
sub-r052s027_ses-1_space-MNI152NLin2009aSym_T1w.nii.gz,24,1.0,1.0,1.0,0.0
sub-r052s027_ses-1_space-MNI152NLin2009aSym_T1w.nii.gz,25,1.0,1.0,1.0,0.0
sub-r052s027_ses-1_space-MNI152NLin2009aSym_T1w.nii.gz,26,1.0,1.0,1.0,0.0
sub-r052s027_ses-1_space-MNI152NLin2009aSym_T1w.nii.gz,27,1.0,1.0,1.0,0.0
sub-r052s027_ses-1_space-MNI152NLin2009aSym_T1w.nii.gz,28,1.0,1.0,1.0,0.0
sub-r052s027_ses-1_space-MNI152NLin2009aSym_T1w.nii.gz,29,1.0,1.0,1.0,0.0
sub-r052s027_ses-1_space-MNI152NLin2009aSym_T1w.nii.gz,30,1.0,1.0,1.0,0.0
sub-r052s027_ses-1_space-MNI152NLin2009aSym_T1w.nii.gz,31,1.0,1.0,1.0,0.0
sub-r052s027_ses-1_space-MNI152NLin2009aSym_T1w.nii.gz,32,1.0,1.0,1.0,0.0
sub-r052s027_ses-1_space-MNI152NLin2009aSym_T1w.nii.gz,33,1.0,1.0,1.0,0.0
sub-r052s027_ses-1_space-MNI152NLin2009aSym_T1w.nii.gz,34,1.0,1.0,1.0,0.0
sub-r052s027_ses-1_space-MNI152NLin2009aSym_T1w.nii.gz,35,1.0,1.0,1.0,0.0
sub-r052s027_ses-1_space-MNI152NLin2009aSym_T1w.nii.gz,36,1.0,1.0,1.0,0.0
sub-r052s027_ses-1_space-MNI152NLin2009aSym_T1w.nii.gz,37,1.0,1.0,1.0,0.0
sub-r052s027_ses-1_space-MNI152NLin2009aSym_T1w.nii.gz,38,1.0,1.0,1.0,0.0
sub-r052s027_ses-1_space-MNI152NLin2009aSym_T1w.nii.gz,39,1.0,1.0,1.0,0.0
sub-r052s027_ses-1_space-MNI152NLin2009aSym_T1w.nii.gz,40,1.0,1.0,1.0,0.0
sub-r052s027_ses-1_space-MNI152NLin2009aSym_T1w.nii.gz,41,1.0,1.0,1.0,0.0
sub-r052s027_ses-1_space-MNI152NLin2009aSym_T1w.nii.gz,42,1.0,1.0,1.0,0.0
sub-r052s027_ses-1_space-MNI152NLin2009aSym_T1w.nii.gz,43,1.0,1.0,1.0,0.0
sub-r052s027_ses-1_space-MNI152NLin2009aSym_T1w.nii.gz,44,1.0,1.0,1.0,0.0
sub-r052s027_ses-1_space-MNI152NLin2009aSym_T1w.nii.gz,45,1.0,1.0,1.0,0.0
sub-r052s027_ses-1_space-MNI152NLin2009aSym_T1w.nii.gz,46,1.0,1.0,1.0,0.0
sub-r052s027_ses-1_space-MNI152NLin2009aSym_T1w.nii.gz,47,1.0,1.0,1.0,0.0
sub-r052s027_ses-1_space-MNI152NLin2009aSym_T1w.nii.gz,48,0.125,0.125,1.0,0.008333334
sub-r052s027_ses-1_space-MNI152NLin2009aSym_T1w.nii.gz,49,0.2,0.2,1.0,0.008333334
sub-r052s027_ses-1_space-MNI152NLin2009aSym_T1w.nii.gz,50,1.0,1.0,1.0,0.0
sub-r052s027_ses-1_space-MNI152NLin2009aSym_T1w.nii.gz,51,1.0,1.0,1.0,0.0
sub-r052s027_ses-1_space-MNI152NLin2009aSym_T1w.nii.gz,52,1.0,1.0,1.0,0.0
sub-r052s027_ses-1_space-MNI152NLin2009aSym_T1w.nii.gz,53,1.0,1.0,1.0,0.0
sub-r052s027_ses-1_space-MNI152NLin2009aSym_T1w.nii.gz,54,1.0,1.0,1.0,0.0
sub-r052s027_ses-1_space-MNI152NLin2009aSym_T1w.nii.gz,55,0.125,0.125,1.0,0.008333334
sub-r052s027_ses-1_space-MNI152NLin2009aSym_T1w.nii.gz,56,0.055555556,0.055555556,1.0,0.025
sub-r052s027_ses-1_space-MNI152NLin2009aSym_T1w.nii.gz,57,1.0,1.0,1.0,0.0
sub-r052s027_ses-1_space-MNI152NLin2009aSym_T1w.nii.gz,58,1.0,1.0,1.0,0.0
sub-r052s027_ses-1_space-MNI152NLin2009aSym_T1w.nii.gz,59,1.0,1.0,1.0,0.0
sub-r052s027_ses-1_space-MNI152NLin2009aSym_T1w.nii.gz,60,1.0,1.0,1.0,0.0
sub-r052s027_ses-1_space-MNI152NLin2009aSym_T1w.nii.gz,61,1.0,1.0,1.0,0.0
sub-r052s027_ses-1_space-MNI152NLin2009aSym_T1w.nii.gz,62,0.023255814,0.023255814,1.0,0.033333335
sub-r052s027_ses-1_space-MNI152NLin2009aSym_T1w.nii.gz,63,0.018181818,0.018181818,1.0,0.029166667
sub-r052s027_ses-1_space-MNI152NLin2009aSym_T1w.nii.gz,64,0.011627907,0.011627907,1.0,0.033333335
sub-r052s027_ses-1_space-MNI152NLin2009aSym_T1w.nii.gz,65,0.007874016,0.007874016,1.0,0.0375
sub-r052s027_ses-1_space-MNI152NLin2009aSym_T1w.nii.gz,66,0.0046948357,0.0058139535,0.023809524,0.0375
sub-r052s027_ses-1_space-MNI152NLin2009aSym_T1w.nii.gz,67,0.0034129692,0.004950495,0.010869565,0.016666668
sub-r052s027_ses-1_space-MNI152NLin2009aSym_T1w.nii.gz,68,0.003144654,0.004347826,0.011235955,0.016666668
sub-r052s027_ses-1_space-MNI152NLin2009aSym_T1w.nii.gz,69,0.12654321,0.089361705,0.23333333,0.0125
sub-r052s027_ses-1_space-MNI152NLin2009aSym_T1w.nii.gz,70,0.627907,0.640625,0.6212121,0.008333334
sub-r052s027_ses-1_space-MNI152NLin2009aSym_T1w.nii.gz,71,0.70253164,0.6363636,0.7887324,0.004166667
sub-r052s027_ses-1_space-MNI152NLin2009aSym_T1w.nii.gz,72,0.4675926,0.31288344,0.9444444,0.05
sub-r052s027_ses-1_space-MNI152NLin2009aSym_T1w.nii.gz,73,0.34519574,0.2112069,0.98,0.07083333
sub-r052s027_ses-1_space-MNI152NLin2009aSym_T1w.nii.gz,74,0.6699029,0.52238804,0.9459459,0.025
sub-r052s027_ses-1_space-MNI152NLin2009aSym_T1w.nii.gz,75,0.010416667,0.012048192,0.071428575,0.0375
sub-r052s027_ses-1_space-MNI152NLin2009aSym_T1w.nii.gz,76,0.006329114,0.006329114,1.0,0.083333336
sub-r052s027_ses-1_space-MNI152NLin2009aSym_T1w.nii.gz,77,0.004115226,0.004115226,1.0,0.1
sub-r052s027_ses-1_space-MNI152NLin2009aSym_T1w.nii.gz,78,0.005988024,0.005988024,1.0,0.075
sub-r052s027_ses-1_space-MNI152NLin2009aSym_T1w.nii.gz,79,0.006802721,0.006802721,1.0,0.083333336
sub-r052s027_ses-1_space-MNI152NLin2009aSym_T1w.nii.gz,80,0.0088495575,0.0088495575,1.0,0.0625
sub-r052s027_ses-1_space-MNI152NLin2009aSym_T1w.nii.gz,81,0.25,0.25,1.0,0.008333334
sub-r052s027_ses-1_space-MNI152NLin2009aSym_T1w.nii.gz,82,1.0,1.0,1.0,0.0
sub-r052s027_ses-1_space-MNI152NLin2009aSym_T1w.nii.gz,83,0.030303031,0.030303031,1.0,0.025
sub-r052s027_ses-1_space-MNI152NLin2009aSym_T1w.nii.gz,84,0.037037037,0.037037037,1.0,0.025
sub-r052s027_ses-1_space-MNI152NLin2009aSym_T1w.nii.gz,85,0.25,0.25,1.0,0.008333334
sub-r052s027_ses-1_space-MNI152NLin2009aSym_T1w.nii.gz,86,1.0,1.0,1.0,0.0
sub-r052s027_ses-1_space-MNI152NLin2009aSym_T1w.nii.gz,87,1.0,1.0,1.0,0.0
sub-r052s027_ses-1_space-MNI152NLin2009aSym_T1w.nii.gz,88,1.0,1.0,1.0,0.0
sub-r052s027_ses-1_space-MNI152NLin2009aSym_T1w.nii.gz,89,1.0,1.0,1.0,0.0
sub-r052s027_ses-1_space-MNI152NLin2009aSym_T1w.nii.gz,90,1.0,1.0,1.0,0.0
sub-r052s027_ses-1_space-MNI152NLin2009aSym_T1w.nii.gz,91,1.0,1.0,1.0,0.0
sub-r052s027_ses-1_space-MNI152NLin2009aSym_T1w.nii.gz,92,1.0,1.0,1.0,0.0
