hausdorff_distance,dice_coef,recall,precision,loss
0.02452874928712845,0.7558110952377319,0.7116436958312988,0.8058463931083679,0.24408555030822754
0.03129565343260765,0.7960073351860046,0.8005009889602661,0.7915778160095215,0.20408642292022705
0.027214843779802322,0.7903115153312683,0.7375320792198181,0.8512457609176636,0.20948058366775513
0.027505479753017426,0.7629312872886658,0.6750591397285461,0.8771368861198425,0.23696422576904297
0.02173396572470665,0.7972594499588013,0.7293569445610046,0.8791282773017883,0.20277857780456543
0.02366488054394722,0.8308711647987366,0.7671149373054504,0.9062023162841797,0.16920840740203857
0.03135824576020241,0.8108323812484741,0.7873486876487732,0.8357753157615662,0.18938201665878296
0.023508945479989052,0.7520990371704102,0.6582061052322388,0.8772733211517334,0.24814432859420776
0.02335059829056263,0.7880362272262573,0.7104083299636841,0.8847342729568481,0.21191293001174927
0.03156161308288574,0.7932702898979187,0.7410470247268677,0.8534302115440369,0.2066965103149414
0.02087070420384407,0.8195137977600098,0.7775070071220398,0.8663381338119507,0.18029391765594482
0.02963554859161377,0.7684339284896851,0.6853325963020325,0.8745012879371643,0.23153871297836304
0.02048514224588871,0.8022248148918152,0.7631959319114685,0.84548020362854,0.19782382249832153
0.0217556394636631,0.8122953176498413,0.7682309746742249,0.8617416620254517,0.18773365020751953
0.021616177633404732,0.7686425447463989,0.6854443550109863,0.8748577833175659,0.23155325651168823
0.020093975588679314,0.8481393456459045,0.7767746448516846,0.933957576751709,0.15177488327026367
0.021515818312764168,0.8188816905021667,0.7782410383224487,0.8640174865722656,0.18108946084976196
0.0329318642616272,0.7883365154266357,0.8055828809738159,0.771826982498169,0.21182352304458618
0.023912908509373665,0.738902747631073,0.7322601079940796,0.7456859350204468,0.2615411877632141
0.02119050733745098,0.80180823802948,0.7669178247451782,0.8400408625602722,0.1981411576271057
0.036771565675735474,0.8227335810661316,0.7736327648162842,0.8785054683685303,0.17732971906661987
0.025045763701200485,0.8112188577651978,0.7591152787208557,0.87102210521698,0.18838518857955933
0.028496868908405304,0.7675285339355469,0.6770554184913635,0.885938823223114,0.23222023248672485
0.03327565640211105,0.7282651662826538,0.7198504209518433,0.7369008660316467,0.271564245223999
0.028860658407211304,0.7777475118637085,0.7919537425041199,0.7640587091445923,0.22218948602676392
0.027844758704304695,0.8040266633033752,0.7390296459197998,0.8815802335739136,0.19603419303894043
0.02485785260796547,0.8031243085861206,0.7705510258674622,0.838591456413269,0.19659465551376343
0.03018714301288128,0.8028079271316528,0.7530403733253479,0.8596371412277222,0.19718384742736816
0.02714349888265133,0.8074846863746643,0.7823134660720825,0.8343461155891418,0.1924426555633545
0.03370369225740433,0.7099877595901489,0.6358020305633545,0.8038007616996765,0.2901650071144104
0.03489440307021141,0.7042595744132996,0.6834575533866882,0.726395308971405,0.29563260078430176
0.030309954658150673,0.7651821970939636,0.651759684085846,0.9264274835586548,0.2349259853363037
0.022105762735009193,0.7565394639968872,0.7069733738899231,0.8136013746261597,0.24339836835861206
0.030388353392481804,0.770951509475708,0.7804360389709473,0.7617109417915344,0.22909176349639893
0.028630612418055534,0.757753849029541,0.7143605947494507,0.8067816495895386,0.2419864535331726
0.03800016641616821,0.7436012625694275,0.655563473701477,0.8589836955070496,0.25636154413223267
0.030350886285305023,0.7493918538093567,0.67610764503479,0.8405230045318604,0.2507266402244568
0.02640366181731224,0.7524843811988831,0.6888584494590759,0.8290863037109375,0.2474299669265747
0.027170779183506966,0.7367376685142517,0.6655880808830261,0.8249512314796448,0.26309114694595337
0.021074803546071053,0.8281943202018738,0.8381629586219788,0.8184730410575867,0.17191636562347412
0.027194032445549965,0.8152879476547241,0.7337228655815125,0.9172754287719727,0.18480199575424194
0.022036321461200714,0.8552488684654236,0.8551393151283264,0.8553715348243713,0.14483672380447388
0.020790796726942062,0.8219553232192993,0.8233143091201782,0.8206137418746948,0.17827332019805908
0.028259875252842903,0.7976716160774231,0.7781742215156555,0.8181901574134827,0.2021782398223877
0.026047129184007645,0.7780593633651733,0.7114339470863342,0.858479380607605,0.22184133529663086
0.022816704586148262,0.7864565253257751,0.7226937413215637,0.8625853061676025,0.21344298124313354
0.02587541937828064,0.7973793148994446,0.7812618613243103,0.8141921162605286,0.2026100754737854
0.02625342085957527,0.6880767941474915,0.5726804137229919,0.861774742603302,0.31193822622299194
0.024416226893663406,0.8050551414489746,0.828845202922821,0.7826057076454163,0.19492310285568237
0.01881452277302742,0.8366357684135437,0.7995901107788086,0.8772976398468018,0.16344153881072998
0.03307633846998215,0.7693167328834534,0.7500175833702087,0.7896528840065002,0.2306680679321289
0.019569844007492065,0.8240132927894592,0.7826754450798035,0.8699799180030823,0.17612826824188232
0.026813291013240814,0.8355769515037537,0.7660963535308838,0.9189316034317017,0.1644275188446045
0.021332435309886932,0.7362979650497437,0.6722117066383362,0.8139219284057617,0.2638621926307678
0.029935764148831367,0.7682875990867615,0.7561156153678894,0.7808778285980225,0.23217666149139404
0.033570416271686554,0.7787066698074341,0.6828122735023499,0.9059645533561707,0.22135502099990845
0.03700939565896988,0.7510990500450134,0.745870053768158,0.7564235925674438,0.24871283769607544
0.03392106667160988,0.7111269235610962,0.6429006457328796,0.7955800890922546,0.2888082265853882
0.01986594870686531,0.8123111724853516,0.8423250913619995,0.7843772768974304,0.18784230947494507
0.026774823665618896,0.7583010792732239,0.7371346354484558,0.7807425856590271,0.24153393507003784
0.02711460180580616,0.78336501121521,0.7541606426239014,0.8149392008781433,0.21651071310043335
0.027684491127729416,0.731548011302948,0.613048255443573,0.9068775177001953,0.26851171255111694
0.024783432483673096,0.7702415585517883,0.6826440095901489,0.883662760257721,0.22984451055526733
0.028356850147247314,0.8313922882080078,0.7578252553939819,0.9207937121391296,0.16866463422775269
0.02676982432603836,0.7899037599563599,0.7592525482177734,0.8231552243232727,0.21022331714630127
0.022648431360721588,0.7498394250869751,0.626185953617096,0.9343838691711426,0.2502254247665405
0.032975636422634125,0.7769247889518738,0.7376202940940857,0.8206719756126404,0.2234961986541748
0.024913080036640167,0.8009824156761169,0.7072974443435669,0.9233013987541199,0.19927865266799927
