Epoch,Time
1,687.124137878418
2,648.5777962207794
3,649.4876918792725
4,648.5439047813416
5,648.6290340423584
6,649.7461905479431
7,648.7431492805481
8,648.6193318367004
9,649.7531180381775
10,649.8124940395355
11,648.7165865898132
12,648.7526862621307
13,648.6047449111938
14,648.762487411499
15,649.6998016834259
16,648.6342611312866
17,649.6815202236176
18,648.509779214859
19,648.5681629180908
20,649.5573942661285
21,648.5569891929626
22,649.663027048111
23,648.6785447597504
24,648.6430130004883
25,648.6169435977936
26,648.5035219192505
27,648.4843330383301
28,648.1964066028595
29,648.2394683361053
30,648.3989119529724
31,648.3506824970245
32,648.3574953079224
33,649.2422368526459
34,649.4582092761993
35,648.5005066394806
36,648.4642879962921
37,649.629471540451
38,648.4950182437897
39,649.528439283371
40,648.5610876083374
41,648.595502614975
42,648.3484988212585
43,648.5660576820374
44,648.4107518196106
45,649.4710528850555
46,648.5003974437714
47,648.5518522262573
48,648.6071355342865
49,648.3618240356445
50,648.3932745456696
51,648.382169008255
52,648.376752614975
53,648.3601593971252
54,648.2904591560364
55,648.182603597641
56,648.20228266716
57,648.5179431438446
58,649.638701915741
59,648.6002779006958
60,648.5460431575775
61,648.4674870967865
62,648.375070810318
63,649.3965084552765
64,648.439022064209
65,648.5356404781342
66,648.4362232685089
67,648.4734768867493
68,648.391259431839
69,648.3747854232788
70,648.2761793136597
71,648.3339149951935
72,648.3256161212921
73,648.4469528198242
74,648.4842796325684
75,648.4031028747559
76,648.2900805473328
77,648.296811580658
78,648.3104746341705
79,648.453290939331
80,648.5600442886353
81,648.442788362503
82,648.2474491596222
83,648.4813122749329
