Epoch,Time
1,827.3252277374268
2,789.8110058307648
3,790.100346326828
4,787.9868562221527
5,787.8991458415985
6,789.1901631355286
7,788.2050323486328
8,787.280858039856
9,787.3199346065521
10,787.4644854068756
11,786.6941840648651
12,785.92866563797
13,787.0035216808319
14,786.5348830223083
15,786.094976902008
16,785.2071158885956
17,786.4314098358154
18,785.4575266838074
19,787.0321505069733
20,786.1976358890533
21,786.235414981842
22,785.913580417633
23,785.3257195949554
24,786.2340934276581
25,786.0882434844971
26,786.6368486881256
27,786.0273370742798
28,784.5379869937897
29,785.6095886230469
30,784.6600258350372
31,785.5300183296204
32,784.789392709732
33,785.8240089416504
34,785.915020942688
35,785.3202602863312
