Epoch,Time
1,965.9292252063751
2,925.2706508636475
3,924.0437455177307
4,924.5242981910706
5,925.3630313873291
6,923.8501136302948
7,925.4258527755737
8,925.6289489269257
9,925.7732827663422
10,924.2988295555115
11,923.2956628799438
12,924.6762635707855
13,923.6579031944275
14,923.622061252594
15,925.3814032077789
16,923.8891055583954
17,925.2314465045929
18,923.1969864368439
19,923.399041891098
20,923.0781593322754
21,923.1933786869049
22,923.3776113986969
23,923.5275292396545
24,923.2912278175354
25,922.8634424209595
26,922.903205871582
27,923.4013864994049
