Epoch,Time
1,682.4329075813293
2,645.0325005054474
3,645.1798696517944
4,644.9881918430328
5,645.1499183177948
6,644.9578239917755
7,644.1197791099548
8,645.2023577690125
9,644.0926103591919
10,644.1315639019012
11,644.1856348514557
12,644.2891912460327
13,644.2513349056244
14,644.9968473911285
15,643.8699643611908
16,643.8512375354767
17,643.8616921901703
18,644.8188307285309
19,644.8614292144775
20,643.8539443016052
21,643.8019258975983
22,643.8806583881378
23,643.784086227417
24,644.8913855552673
25,644.8499100208282
26,643.5994472503662
27,644.6549513339996
28,643.2543759346008
29,643.5761709213257
30,643.5267052650452
31,643.7497799396515
32,643.5942039489746
33,643.5157611370087
34,643.8232066631317
35,644.6971120834351
36,644.6246364116669
37,643.8255026340485
38,643.4361455440521
39,643.5857589244843
40,644.7881274223328
41,643.7817044258118
42,643.55286693573
43,643.7175288200378
44,643.5447010993958
45,643.5952234268188
46,643.7095396518707
47,643.7589573860168
48,643.5828461647034
49,643.813737154007
50,643.5098142623901
51,643.6110327243805
52,643.6274149417877
53,643.7623264789581
54,643.7567434310913
55,643.3354003429413
56,643.5949778556824
57,643.3567714691162
58,643.4026596546173
59,643.4341506958008
60,643.7879569530487
