epoch;dice_coef;hausdorff_distance;loss;precision;recall;val_dice_coef;val_hausdorff_distance;val_loss;val_precision;val_recall
0;0.25027206540107727;0.18139629065990448;0.755838930606842;0.24243281781673431;0.35764312744140625;0.2109702080488205;0.1997438222169876;0.7893345952033997;0.15465830266475677;0.5262526869773865
1;0.46766772866249084;0.07945695519447327;0.5328134894371033;0.4908434748649597;0.49267876148223877;0.29584363102912903;0.13220106065273285;0.7046635746955872;0.24412140250205994;0.5424366593360901
2;0.5251327753067017;0.06809988617897034;0.4751586616039276;0.5612248778343201;0.5344481468200684;0.4451640844345093;0.06370549649000168;0.5567904114723206;0.4514269530773163;0.5486228466033936
3;0.5552972555160522;0.06192229688167572;0.4449133574962616;0.6014025211334229;0.5490983724594116;0.4633512496948242;0.05751437321305275;0.553214967250824;0.7428491711616516;0.43709322810173035
4;0.5759458541870117;0.059951987117528915;0.4242152273654938;0.6132218241691589;0.5754846334457397;0.4767962396144867;0.06017276644706726;0.5331994295120239;0.525621235370636;0.5481640100479126
5;0.5971294045448303;0.056918367743492126;0.4030079245567322;0.6321901082992554;0.5958842635154724;0.38057199120521545;0.08804451674222946;0.6198809146881104;0.34371405839920044;0.561111330986023
6;0.6053377985954285;0.0554906502366066;0.3947964906692505;0.6393712759017944;0.603788435459137;0.45277711749076843;0.05965295061469078;0.5483716726303101;0.5548234581947327;0.4823229908943176
7;0.6150972247123718;0.05539857596158981;0.38502198457717896;0.651741623878479;0.6112815141677856;0.4946724474430084;0.05937608703970909;0.5063903331756592;0.47361043095588684;0.6129553318023682
8;0.6231703758239746;0.054583825170993805;0.37697041034698486;0.6478895545005798;0.628298282623291;0.5539813041687012;0.04954328015446663;0.4464205801486969;0.7588652968406677;0.5269747972488403
9;0.6315738558769226;0.052113257348537445;0.368539422750473;0.66373610496521;0.6325188875198364;0.48563992977142334;0.056377362459897995;0.514659583568573;0.5362212061882019;0.5447679162025452
10;0.6280797123908997;0.053357791155576706;0.3720178008079529;0.6641539931297302;0.6236777305603027;0.5235130786895752;0.05121234431862831;0.47670796513557434;0.6282004714012146;0.5477935075759888
11;0.6535154581069946;0.04929470270872116;0.34658515453338623;0.6853439211845398;0.6476625204086304;0.4589473009109497;0.07896637171506882;0.5417194366455078;0.41449394822120667;0.6467128992080688
12;0.6442334651947021;0.05112287402153015;0.35587650537490845;0.6743773818016052;0.6417900919914246;0.4793686270713806;0.0588885061442852;0.5207059383392334;0.4689517915248871;0.6067976951599121
13;0.6585764288902283;0.04818740114569664;0.3415061831474304;0.6838880777359009;0.6590766310691833;0.5260714292526245;0.053052932024002075;0.47401195764541626;0.5134937167167664;0.6539844274520874
