subject,slice,dice,presision,recall,hausdorff_distance
sub-r047s016_ses-1_space-MNI152NLin2009aSym_T1w.nii.gz,0,1.0,1.0,1.0,0.0
sub-r047s016_ses-1_space-MNI152NLin2009aSym_T1w.nii.gz,1,1.0,1.0,1.0,0.0
sub-r047s016_ses-1_space-MNI152NLin2009aSym_T1w.nii.gz,2,1.0,1.0,1.0,0.0
sub-r047s016_ses-1_space-MNI152NLin2009aSym_T1w.nii.gz,3,1.0,1.0,1.0,0.0
sub-r047s016_ses-1_space-MNI152NLin2009aSym_T1w.nii.gz,4,1.0,1.0,1.0,0.0
sub-r047s016_ses-1_space-MNI152NLin2009aSym_T1w.nii.gz,5,1.0,1.0,1.0,0.0
sub-r047s016_ses-1_space-MNI152NLin2009aSym_T1w.nii.gz,6,1.0,1.0,1.0,0.0
sub-r047s016_ses-1_space-MNI152NLin2009aSym_T1w.nii.gz,7,1.0,1.0,1.0,0.0
sub-r047s016_ses-1_space-MNI152NLin2009aSym_T1w.nii.gz,8,1.0,1.0,1.0,0.0
sub-r047s016_ses-1_space-MNI152NLin2009aSym_T1w.nii.gz,9,1.0,1.0,1.0,0.0
sub-r047s016_ses-1_space-MNI152NLin2009aSym_T1w.nii.gz,10,1.0,1.0,1.0,0.0
sub-r047s016_ses-1_space-MNI152NLin2009aSym_T1w.nii.gz,11,1.0,1.0,1.0,0.0
sub-r047s016_ses-1_space-MNI152NLin2009aSym_T1w.nii.gz,12,1.0,1.0,1.0,0.0
sub-r047s016_ses-1_space-MNI152NLin2009aSym_T1w.nii.gz,13,1.0,1.0,1.0,0.0
sub-r047s016_ses-1_space-MNI152NLin2009aSym_T1w.nii.gz,14,1.0,1.0,1.0,0.0
sub-r047s016_ses-1_space-MNI152NLin2009aSym_T1w.nii.gz,15,1.0,1.0,1.0,0.0
sub-r047s016_ses-1_space-MNI152NLin2009aSym_T1w.nii.gz,16,1.0,1.0,1.0,0.0
sub-r047s016_ses-1_space-MNI152NLin2009aSym_T1w.nii.gz,17,1.0,1.0,1.0,0.0
sub-r047s016_ses-1_space-MNI152NLin2009aSym_T1w.nii.gz,18,1.0,1.0,1.0,0.0
sub-r047s016_ses-1_space-MNI152NLin2009aSym_T1w.nii.gz,19,1.0,1.0,1.0,0.0
sub-r047s016_ses-1_space-MNI152NLin2009aSym_T1w.nii.gz,20,1.0,1.0,1.0,0.0
sub-r047s016_ses-1_space-MNI152NLin2009aSym_T1w.nii.gz,21,1.0,1.0,1.0,0.0
sub-r047s016_ses-1_space-MNI152NLin2009aSym_T1w.nii.gz,22,1.0,1.0,1.0,0.0
sub-r047s016_ses-1_space-MNI152NLin2009aSym_T1w.nii.gz,23,1.0,1.0,1.0,0.0
sub-r047s016_ses-1_space-MNI152NLin2009aSym_T1w.nii.gz,24,1.0,1.0,1.0,0.0
sub-r047s016_ses-1_space-MNI152NLin2009aSym_T1w.nii.gz,25,1.0,1.0,1.0,0.0
sub-r047s016_ses-1_space-MNI152NLin2009aSym_T1w.nii.gz,26,1.0,1.0,1.0,0.0
sub-r047s016_ses-1_space-MNI152NLin2009aSym_T1w.nii.gz,27,1.0,1.0,1.0,0.0
sub-r047s016_ses-1_space-MNI152NLin2009aSym_T1w.nii.gz,28,1.0,1.0,1.0,0.0
sub-r047s016_ses-1_space-MNI152NLin2009aSym_T1w.nii.gz,29,1.0,1.0,1.0,0.0
sub-r047s016_ses-1_space-MNI152NLin2009aSym_T1w.nii.gz,30,1.0,1.0,1.0,0.0
sub-r047s016_ses-1_space-MNI152NLin2009aSym_T1w.nii.gz,31,1.0,1.0,1.0,0.0
sub-r047s016_ses-1_space-MNI152NLin2009aSym_T1w.nii.gz,32,1.0,1.0,1.0,0.0
sub-r047s016_ses-1_space-MNI152NLin2009aSym_T1w.nii.gz,33,1.0,1.0,1.0,0.0
sub-r047s016_ses-1_space-MNI152NLin2009aSym_T1w.nii.gz,34,1.0,1.0,1.0,0.0
sub-r047s016_ses-1_space-MNI152NLin2009aSym_T1w.nii.gz,35,1.0,1.0,1.0,0.0
sub-r047s016_ses-1_space-MNI152NLin2009aSym_T1w.nii.gz,36,1.0,1.0,1.0,0.0
sub-r047s016_ses-1_space-MNI152NLin2009aSym_T1w.nii.gz,37,1.0,1.0,1.0,0.0
sub-r047s016_ses-1_space-MNI152NLin2009aSym_T1w.nii.gz,38,1.0,1.0,1.0,0.0
sub-r047s016_ses-1_space-MNI152NLin2009aSym_T1w.nii.gz,39,1.0,1.0,1.0,0.0
sub-r047s016_ses-1_space-MNI152NLin2009aSym_T1w.nii.gz,40,1.0,1.0,1.0,0.0
sub-r047s016_ses-1_space-MNI152NLin2009aSym_T1w.nii.gz,41,1.0,1.0,1.0,0.0
sub-r047s016_ses-1_space-MNI152NLin2009aSym_T1w.nii.gz,42,1.0,1.0,1.0,0.0
sub-r047s016_ses-1_space-MNI152NLin2009aSym_T1w.nii.gz,43,1.0,1.0,1.0,0.0
sub-r047s016_ses-1_space-MNI152NLin2009aSym_T1w.nii.gz,44,1.0,1.0,1.0,0.0
sub-r047s016_ses-1_space-MNI152NLin2009aSym_T1w.nii.gz,45,1.0,1.0,1.0,0.0
sub-r047s016_ses-1_space-MNI152NLin2009aSym_T1w.nii.gz,46,1.0,1.0,1.0,0.0
sub-r047s016_ses-1_space-MNI152NLin2009aSym_T1w.nii.gz,47,1.0,1.0,1.0,0.0
sub-r047s016_ses-1_space-MNI152NLin2009aSym_T1w.nii.gz,48,1.0,1.0,1.0,0.0
sub-r047s016_ses-1_space-MNI152NLin2009aSym_T1w.nii.gz,49,1.0,1.0,1.0,0.0
sub-r047s016_ses-1_space-MNI152NLin2009aSym_T1w.nii.gz,50,1.0,1.0,1.0,0.0
sub-r047s016_ses-1_space-MNI152NLin2009aSym_T1w.nii.gz,51,1.0,1.0,1.0,0.0
sub-r047s016_ses-1_space-MNI152NLin2009aSym_T1w.nii.gz,52,1.0,1.0,1.0,0.0
sub-r047s016_ses-1_space-MNI152NLin2009aSym_T1w.nii.gz,53,1.0,1.0,1.0,0.0
sub-r047s016_ses-1_space-MNI152NLin2009aSym_T1w.nii.gz,54,1.0,1.0,1.0,0.0
sub-r047s016_ses-1_space-MNI152NLin2009aSym_T1w.nii.gz,55,1.0,1.0,1.0,0.0
sub-r047s016_ses-1_space-MNI152NLin2009aSym_T1w.nii.gz,56,1.0,1.0,1.0,0.0
sub-r047s016_ses-1_space-MNI152NLin2009aSym_T1w.nii.gz,57,1.0,1.0,1.0,0.0
sub-r047s016_ses-1_space-MNI152NLin2009aSym_T1w.nii.gz,58,1.0,1.0,1.0,0.0
sub-r047s016_ses-1_space-MNI152NLin2009aSym_T1w.nii.gz,59,1.0,1.0,1.0,0.0
sub-r047s016_ses-1_space-MNI152NLin2009aSym_T1w.nii.gz,60,1.0,1.0,1.0,0.0
sub-r047s016_ses-1_space-MNI152NLin2009aSym_T1w.nii.gz,61,1.0,1.0,1.0,0.0
sub-r047s016_ses-1_space-MNI152NLin2009aSym_T1w.nii.gz,62,1.0,1.0,1.0,0.0
sub-r047s016_ses-1_space-MNI152NLin2009aSym_T1w.nii.gz,63,1.0,1.0,1.0,0.0
sub-r047s016_ses-1_space-MNI152NLin2009aSym_T1w.nii.gz,64,0.032258064,1.0,0.032258064,0.033653848
sub-r047s016_ses-1_space-MNI152NLin2009aSym_T1w.nii.gz,65,0.03125,1.0,0.03125,0.033653848
sub-r047s016_ses-1_space-MNI152NLin2009aSym_T1w.nii.gz,66,0.015625,1.0,0.015625,0.043269232
sub-r047s016_ses-1_space-MNI152NLin2009aSym_T1w.nii.gz,67,0.013513514,1.0,0.013513514,0.052884616
sub-r047s016_ses-1_space-MNI152NLin2009aSym_T1w.nii.gz,68,0.02586207,1.0,0.017391304,0.057692308
sub-r047s016_ses-1_space-MNI152NLin2009aSym_T1w.nii.gz,69,0.030864198,1.0,0.01875,0.0625
sub-r047s016_ses-1_space-MNI152NLin2009aSym_T1w.nii.gz,70,0.024875622,1.0,0.015075377,0.067307696
sub-r047s016_ses-1_space-MNI152NLin2009aSym_T1w.nii.gz,71,0.0038022813,1.0,0.0038022813,0.07692308
sub-r047s016_ses-1_space-MNI152NLin2009aSym_T1w.nii.gz,72,0.003267974,1.0,0.003267974,0.10576923
sub-r047s016_ses-1_space-MNI152NLin2009aSym_T1w.nii.gz,73,0.0028571428,1.0,0.0028571428,0.115384616
sub-r047s016_ses-1_space-MNI152NLin2009aSym_T1w.nii.gz,74,0.0029498525,1.0,0.0029498525,0.11057692
sub-r047s016_ses-1_space-MNI152NLin2009aSym_T1w.nii.gz,75,0.0032573289,1.0,0.0032573289,0.115384616
sub-r047s016_ses-1_space-MNI152NLin2009aSym_T1w.nii.gz,76,0.027607363,1.0,0.015527951,0.11057692
sub-r047s016_ses-1_space-MNI152NLin2009aSym_T1w.nii.gz,77,0.01,1.0,0.006688963,0.09615385
sub-r047s016_ses-1_space-MNI152NLin2009aSym_T1w.nii.gz,78,0.06620209,0.90909094,0.036101084,0.09615385
sub-r047s016_ses-1_space-MNI152NLin2009aSym_T1w.nii.gz,79,0.18566775,1.0,0.103942655,0.09615385
sub-r047s016_ses-1_space-MNI152NLin2009aSym_T1w.nii.gz,80,0.23322684,0.9736842,0.13405797,0.09615385
sub-r047s016_ses-1_space-MNI152NLin2009aSym_T1w.nii.gz,81,0.18506494,0.96666664,0.103942655,0.100961536
sub-r047s016_ses-1_space-MNI152NLin2009aSym_T1w.nii.gz,82,0.25,0.97619045,0.14487633,0.09134615
sub-r047s016_ses-1_space-MNI152NLin2009aSym_T1w.nii.gz,83,0.28,0.9583333,0.16546762,0.08173077
sub-r047s016_ses-1_space-MNI152NLin2009aSym_T1w.nii.gz,84,0.14919356,1.0,0.08260869,0.072115384
