subject_name,dice,precision,recall,volum_diff
sub-r004s026_ses-1_space-MNI152NLin2009aSym,0.7867902,0.831131157178516,0.7469425582039911,11695
sub-r009s003_ses-1_space-MNI152NLin2009aSym,0.25280064,0.2825998865386174,0.2287307313873401,2906
sub-r031s008_ses-1_space-MNI152NLin2009aSym,0.5837813,0.4671909560088473,0.7781416291444945,1626
sub-r031s024_ses-1_space-MNI152NLin2009aSym,0.71337897,0.9170932604595666,0.5837232661260687,14838
sub-r023s014_ses-1_space-MNI152NLin2009aSym,0.79973537,0.7983193277310925,0.8012048192771084,15
sub-r009s083_ses-1_space-MNI152NLin2009aSym,0.85165435,0.7934378810651391,0.9190920438867354,14463
sub-r031s010_ses-1_space-MNI152NLin2009aSym,0.58658177,0.5318130630630631,0.6540858725761773,664
sub-r011s018_ses-1_space-MNI152NLin2009aSym,0.6152019,0.5489214175654854,0.699901768172888,560
sub-r031s001_ses-1_space-MNI152NLin2009aSym,0.81151855,0.7015419822372364,0.9623876937796182,49744
sub-r010s028_ses-1_space-MNI152NLin2009aSym,0.7858429,0.8899786366284715,0.703538804022415,2729
sub-r004s034_ses-1_space-MNI152NLin2009aSym,0.8593819,0.8019812641326586,0.925639007415386,3722
sub-r028s009_ses-1_space-MNI152NLin2009aSym,0.38328463,0.4193300946049603,0.3530678148546824,734
sub-r009s118_ses-1_space-MNI152NLin2009aSym,0.5120192,0.6539877300613497,0.4210110584518167,451
sub-r031s018_ses-1_space-MNI152NLin2009aSym,0.8018254,0.7538362422396626,0.8563539587491683,2044
sub-r009s044_ses-1_space-MNI152NLin2009aSym,0.4324505,0.9043690365162492,0.2841749323715059,30421
sub-r040s076_ses-1_space-MNI152NLin2009aSym,0.9023323,0.8520315702501974,0.9589453512327696,24424
sub-r009s103_ses-1_space-MNI152NLin2009aSym,0.6757083,0.5876805390627158,0.7947602330445175,18870
sub-r027s047_ses-1_space-MNI152NLin2009aSym,0.81143445,0.6937620287558021,0.977196619358954,5124
sub-r047s050_ses-1_space-MNI152NLin2009aSym,0.3428633,0.3827338129496402,0.3107476635514019,483
sub-r042s018_ses-1_space-MNI152NLin2009aSym,0.8958612,0.9505777118902974,0.8471014072311956,24390
sub-r031s017_ses-1_space-MNI152NLin2009aSym,0.6673866,0.6628571428571428,0.672463768115942,10
sub-r004s029_ses-1_space-MNI152NLin2009aSym,0.76044965,0.9136840732772672,0.6512344722902017,18545
sub-r003s005_ses-1_space-MNI152NLin2009aSym,0.9012761,0.8276762307416177,0.989243583854108,45043
sub-r001s007_ses-1_space-MNI152NLin2009aSym,0.6282469,0.4917987594762233,0.8696076041920546,3152
sub-r038s084_ses-1_space-MNI152NLin2009aSym,0.7315274,0.6551926203168122,0.8280021977496954,11041
sub-r040s045_ses-1_space-MNI152NLin2009aSym,0.8237053,0.8255520504731861,0.8219221105527639,14
sub-r004s002_ses-1_space-MNI152NLin2009aSym,0.8446156,0.7633572689101199,0.945237736417753,12648
