subject_name,dice,precision,recall,volum_diff
sub-r028s013_ses-1_space-MNI152NLin2009aSym,0.7574745,0.6946446615021893,0.8328218381521564,2463
sub-r031s022_ses-1_space-MNI152NLin2009aSym,0.9177348,0.9271002149627542,0.908557074655846,4244
sub-r019s010_ses-1_space-MNI152NLin2009aSym,0.07585686,0.0550893834367019,0.1229641693811074,1513
sub-r003s009_ses-1_space-MNI152NLin2009aSym,0.8820805,0.8828553857367378,0.8813096862210096,77
sub-r034s040_ses-1_space-MNI152NLin2009aSym,0.6854106,0.5351432880844645,0.953250940354648,1454
sub-r038s097_ses-1_space-MNI152NLin2009aSym,0.22823921,0.864321608040201,0.1316494450822809,2215
sub-r042s001_ses-1_space-MNI152NLin2009aSym,0.51111114,1.0,0.3529411764705882,22
sub-r038s005_ses-1_space-MNI152NLin2009aSym,0.871286,0.9392028343666962,0.8125301721825886,17601
sub-r040s022_ses-1_space-MNI152NLin2009aSym,0.7847739,0.6755336617405583,0.9362767410104688,848
sub-r031s006_ses-1_space-MNI152NLin2009aSym,0.78073514,0.8279236716161492,0.7386413400481716,3940
sub-r011s025_ses-1_space-MNI152NLin2009aSym,0.8453131,0.7852718513420509,0.9153630164460488,413
sub-r035s014_ses-1_space-MNI152NLin2009aSym,0.6228148,0.5510006299365218,0.7161631641928915,14278
sub-r009s011_ses-1_space-MNI152NLin2009aSym,0.12746212,0.614963503649635,0.0712021973378407,4185
sub-r001s029_ses-1_space-MNI152NLin2009aSym,0.6019983,0.543106037849204,0.6753828912962271,652
sub-r047s010_ses-1_space-MNI152NLin2009aSym,0.40616423,0.3114548651378549,0.5836721817162086,24934
sub-r052s027_ses-1_space-MNI152NLin2009aSym,0.17554557,0.2019159911569639,0.1556818181818181,403
sub-r009s087_ses-1_space-MNI152NLin2009aSym,0.29177216,0.90234375,0.1743396226415094,1069
sub-r009s093_ses-1_space-MNI152NLin2009aSym,0.00069204153,0.0526315789473684,0.0007007708479327,1408
sub-r009s109_ses-1_space-MNI152NLin2009aSym,0.604445,0.8181333333333334,0.479285134037368,6628
sub-r004s016_ses-1_space-MNI152NLin2009aSym,0.7934432,0.6841437219293107,0.9443396226415094,2822
sub-r048s018_ses-1_space-MNI152NLin2009aSym,0.90461314,0.8522971161673889,0.9637726304826908,14066
sub-r038s020_ses-1_space-MNI152NLin2009aSym,0.12397541,0.1464594127806563,0.1076688674454037,1043
sub-r001s027_ses-1_space-MNI152NLin2009aSym,0.4756965,0.3666666666666666,0.6776371308016877,1005
sub-r002s008_ses-1_space-MNI152NLin2009aSym,0.9004817,0.8664363845710996,0.9373133190131804,6436
sub-r001s006_ses-1_space-MNI152NLin2009aSym,0.012674683,0.2941176470588235,0.0066445182724252,2942
sub-r040s069_ses-1_space-MNI152NLin2009aSym,0.83503425,0.8701519213583557,0.8026433291659225,5647
sub-r004s006_ses-1_space-MNI152NLin2009aSym,0.6169689,0.4824072293789656,0.8557298772169167,4538
sub-r028s007_ses-1_space-MNI152NLin2009aSym,0.5997279,0.6424568482403049,0.5624018838304553,635
sub-r004s020_ses-1_space-MNI152NLin2009aSym,0.92062443,0.9149662877902996,0.9263536492867804,1526
sub-r009s055_ses-1_space-MNI152NLin2009aSym,0.106671505,0.8373151308304891,0.0570012391573729,12033
sub-r001s036_ses-1_space-MNI152NLin2009aSym,0.73588514,0.8961864406779662,0.6242621015348289,2056
sub-r031s029_ses-1_space-MNI152NLin2009aSym,0.78926593,0.7930801687763713,0.785523236375794,57
sub-r010s004_ses-1_space-MNI152NLin2009aSym,0.81039196,0.822550831792976,0.7989228007181328,16
sub-r004s014_ses-1_space-MNI152NLin2009aSym,0.84686214,0.8422417858827228,0.8515457363108957,139
