,dice,presision,recall
before_mean,0.8693377902782828,0.9178514431318181,0.934283864419192
before_std,0.30428657870041853,0.23992665456387274,0.2206858351938871
after_mean,0.9276689334848484,0.9586375494242424,0.9480650541414142
after_std,0.21409443117004712,0.13724097865941406,0.19903508045908197
difference,-0.05833114320656552,-0.040786106292424296,-0.013781189722222198
