Epoch,Time
1,748.1695218086243
2,709.8721990585327
3,708.9419279098511
4,710.147567987442
5,710.0567097663879
6,709.125513792038
7,709.9903361797333
8,710.1435866355896
9,709.1283791065216
10,710.3669233322144
11,709.159431219101
12,709.3208980560303
13,709.1503148078918
14,709.449360370636
15,709.2001345157623
16,709.0515048503876
17,708.802627325058
18,708.9595472812653
19,709.1973407268524
20,709.2300863265991
21,709.262314081192
22,709.0842432975769
23,709.2253534793854
24,709.0217025279999
25,708.9983174800873
26,710.1149237155914
27,708.0506994724274
28,709.1842029094696
29,708.3638215065002
30,708.2299029827118
31,708.2088418006897
32,708.4321556091309
33,708.4063756465912
34,708.3624005317688
35,708.384327173233
36,708.4647047519684
37,708.3059911727905
38,708.2204732894897
39,708.3209691047668
40,708.2474372386932
41,708.2063975334167
42,708.5154483318329
43,708.2745270729065
44,709.5020272731781
45,708.3744149208069
46,708.3568890094757
47,708.3434345722198
48,708.224212884903
49,708.4233024120331
50,708.3050465583801
51,708.4410524368286
52,708.3798658847809
53,708.3841645717621
54,708.3450362682343
55,709.2644073963165
56,708.2402002811432
57,708.2585303783417
58,708.2279613018036
59,708.1283147335052
60,708.1431217193604
61,708.1622626781464
62,708.1200478076935
63,708.3426513671875
64,708.2182111740112
65,709.1189968585968
66,708.1615455150604
67,708.2370476722717
68,708.2422027587891
69,708.3246757984161
70,708.3029651641846
71,708.4169051647186
72,708.205109834671
73,708.3542127609253
74,708.3860206604004
75,708.2620224952698
76,708.3317136764526
77,708.3996739387512
78,708.3480446338654
79,708.2826046943665
80,708.1073644161224
81,708.1041009426117
82,708.4085381031036
83,708.0417425632477
84,708.2293901443481
85,708.5868892669678
