loss,precision,recall,dice_coef,hausdorff_distance,val_loss,val_precision,val_recall,val_dice_coef,val_hausdorff_distance,time
0.5788079536831181,0.38710549687811685,0.710957632823424,0.46167393596592465,0.16423060982064766,0.4858236102585865,0.6044362267564396,0.5275938017719288,0.554045404350092,0.06479669067308988,162.66085147857666
0.5788079536831181,0.38710549687811685,0.710957632823424,0.46167393596592465,0.16423060982064766,0.4858236102585865,0.6044362267564396,0.5275938017719288,0.554045404350092,0.06479669067308988,162.66085147857666
0.3119334078056406,0.6054665666459923,0.7667911670119448,0.6736335173993349,0.059297369428160246,0.443617311074649,0.704067029928798,0.546201161926773,0.6079373550294015,0.060812807533190336,150.64526510238647
0.2636956837548184,0.6514377802343283,0.8083405678617206,0.7190340690209832,0.053281137517029745,0.3969481523872027,0.6926905134607693,0.6076016155293751,0.6398255278918948,0.0589353213758033,150.3759126663208
0.2299269547306774,0.689886304846799,0.8340144941962483,0.753240391936406,0.048452706697483985,0.4345841150598478,0.746506103706844,0.5495731698226203,0.6239642853361701,0.05707281532929028,150.6442527770996
0.21042372375993815,0.7121671771728427,0.8496012718973636,0.7731182048629096,0.04544258322781393,0.41833415899785037,0.735649416894477,0.5703941793913768,0.6342452912766317,0.057712430011499956,150.15620160102844
0.19231491647517635,0.7322003159877127,0.8641616842505568,0.7914781156025836,0.04224923926568978,0.36871572708720485,0.7100977002061563,0.6367228447937118,0.6649477631610057,0.05517619405754932,150.44161748886108
0.1779168754453543,0.7465840665082162,0.8767603506809923,0.8053580697306292,0.040170239933340714,0.3588714523968963,0.656309115856432,0.6688716824587226,0.6573436518913598,0.05780970097193258,149.78722977638245
0.1665882006592848,0.7570725865614399,0.8870416300397523,0.8160008441623439,0.03814151206992271,0.3888958378642949,0.7180737220696386,0.6092117191268708,0.6528660143692482,0.05616737913510521,150.9746515750885
0.15779767435392253,0.7665165940564359,0.8944089286763903,0.824692220678708,0.03642131873047535,0.374205428785479,0.7227205830782198,0.6250127304326459,0.664440367578855,0.0541724323053953,150.6671440601349
0.14789075877579472,0.7783547390285741,0.9019884793767551,0.8349608062324084,0.03444833299395522,0.3901119766955448,0.729549867247567,0.6048015929418167,0.654671127118435,0.05483726950995813,150.6706783771515
0.14355004226810342,0.7824487013792412,0.9058479663657165,0.8390224753055011,0.033696993286321926,0.38976839918473044,0.7216367948478853,0.6073653048972794,0.6534361955780669,0.054497580672732464,150.2023892402649
0.13689145895148055,0.7907827655270829,0.9107880218386192,0.8460104429614986,0.032136652189355804,0.36940071818792275,0.7170705347496846,0.634414151537842,0.6669443590084309,0.05257280126478769,150.19811725616455
0.13817764420858877,0.7875530864761978,0.9106708627656847,0.8440606166702838,0.03240001882771066,0.36394745860305533,0.7109727109144182,0.644318014383316,0.6698689894930361,0.05308888311767336,149.86803317070007
0.1292066750582904,0.7996859883987338,0.9168737977170761,0.8538163059346959,0.030435849601228776,0.3693492594104128,0.7224180072092162,0.6338564155973153,0.6695220367557506,0.05205438395744653,149.98524284362793
0.12528182120657455,0.8040189802570319,0.9200465946282986,0.8577127771096712,0.029648750729467745,0.36653777775425594,0.7203014341707762,0.6369025043122054,0.6705289290943727,0.05183576134406976,150.13442945480347
0.1221946705127953,0.8076021558343982,0.9226320477514963,0.8609008075485767,0.029088155835122823,0.37892859190853717,0.7326614387749415,0.6175556157143588,0.6643016058478863,0.05204814995832855,150.3665473461151
0.12080241157822359,0.808584585308876,0.9241168360856675,0.8620644618546001,0.028768580626319526,0.3526988121004879,0.7291987538337708,0.6511464654491638,0.6828040046437742,0.0506187541419782,150.33307933807373
0.11783120724898447,0.8126659632950219,0.9261242984656946,0.8652848228907616,0.028128529449259424,0.38285185752181233,0.7505392765030643,0.6075145183178374,0.6653192374609449,0.05098957937154068,150.84689712524414
0.11431041232068163,0.8169291186576921,0.9288163978067464,0.868929067509733,0.02749215859189992,0.370459407038495,0.7288479090947185,0.6294654178135286,0.6698723489863013,0.051638588384928436,150.38084316253662
0.11287700333340372,0.818307313738956,0.9301201274544573,0.8703031156035606,0.027149513590408347,0.3446870245758047,0.689468192267539,0.6762807302668615,0.6781496774726713,0.052157689831432354,150.059668302536
0.10948355195426147,0.8224130739933703,0.9327149680420928,0.8738038664285414,0.026524007480195635,0.36784591529575095,0.7423880109327093,0.6291123127876804,0.675114720303395,0.05010922302298134,150.36187767982483
0.10784203886375232,0.8234742731809921,0.9344339298988273,0.8751723139753109,0.026192708885375882,0.36793129380584366,0.7367377856056098,0.6298465088841879,0.673885351812779,0.05063510071580785,150.31922698020935
0.10595012618355196,0.8257194905519181,0.9360129321888375,0.8771442999913048,0.025706325847269174,0.39057925366205615,0.7527716994890706,0.5992552274223512,0.66068061792911,0.051257426325742365,149.95993876457214
0.1036527717197445,0.8283222626785005,0.9380089477296065,0.8794815359439191,0.025329560220298787,0.38509207139462986,0.751845484760207,0.6076280191767639,0.6662798056445146,0.05081681544102993,150.25102472305298
0.1009055463151193,0.832086178694736,0.9399375147764569,0.8824626463018215,0.02465534914361263,0.35446044961510575,0.7245412172399802,0.6522584506097784,0.6812206980238106,0.05065810803305074,150.48426461219788
0.09948117401398404,0.8331193157713789,0.9413539921428421,0.8836955896718248,0.024312998660662416,0.3670049604728137,0.7418689715680737,0.63079531165549,0.6766774192981914,0.05001022220414302,150.2346339225769
0.09882100466424158,0.8338980383970673,0.9418424182451031,0.8843462364926992,0.02420500518513245,0.38655771398302263,0.7614756867970307,0.6023074911935681,0.6666838501008029,0.05016092292321515,150.3264331817627
