Model,Plane,Fold,Time,Average Time
X_net,axial,1,12.80851488729318,8.987686494761043
X_net,axial,2,13.59265736831559,8.987686494761043
X_net,axial,3,8.88243098894755,8.987686494761043
X_net,axial,4,1.786478286186854,8.987686494761043
X_net,axial,5,7.86835094306204,8.987686494761043
X_net,sagittal,1,15.238789232108328,11.76861864221096
X_net,sagittal,2,4.669129110309813,11.76861864221096
X_net,sagittal,3,7.1687743003500835,11.76861864221096
X_net,sagittal,4,20.402446214291786,11.76861864221096
X_net,sagittal,5,11.363954353994794,11.76861864221096
X_net,coronal,1,9.408508929146661,9.5052983975278
X_net,coronal,2,17.496825060248376,9.5052983975278
X_net,coronal,3,12.283723185327318,9.5052983975278
X_net,coronal,4,3.2930109130011664,9.5052983975278
X_net,coronal,5,5.044423899915484,9.5052983975278
CLCI,axial,1,1.9211224237415525,3.9113593111038205
CLCI,axial,2,3.939012536406517,3.9113593111038205
CLCI,axial,3,3.4554838889174992,3.9113593111038205
CLCI,axial,4,8.053834772838487,3.9113593111038205
CLCI,axial,5,2.187342933615049,3.9113593111038205
CLCI,sagittal,1,8.60209908525149,8.945019549806911
CLCI,sagittal,2,10.442822714381748,8.945019549806911
CLCI,sagittal,3,4.6864916098780105,8.945019549806911
CLCI,sagittal,4,16.61594494369295,8.945019549806911
CLCI,sagittal,5,4.377739395830367,8.945019549806911
CLCI,coronal,1,2.3770833665794795,2.963756458825535
CLCI,coronal,2,1.3924202280574374,2.963756458825535
CLCI,coronal,3,4.837788909077644,2.963756458825535
CLCI,coronal,4,5.221177309552829,2.963756458825535
CLCI,coronal,5,0.9903124808602863,2.963756458825535
RAX_NET,axial,1,0.8181189657582177,1.0237123449908363
RAX_NET,axial,2,1.4772167399194505,1.0237123449908363
RAX_NET,axial,3,0.961441648138894,1.0237123449908363
RAX_NET,axial,4,0.7728240623076756,1.0237123449908363
RAX_NET,axial,5,1.0889603088299433,1.0237123449908363
RAX_NET,sagittal,1,0.7407951656977335,1.757296669933531
RAX_NET,sagittal,2,0.41144733005099826,1.757296669933531
RAX_NET,sagittal,3,3.4054854912228056,1.757296669933531
RAX_NET,sagittal,4,0.6802633753750059,1.757296669933531
RAX_NET,sagittal,5,3.548491987321112,1.757296669933531
RAX_NET,coronal,1,0.8928917650381724,1.310074964205424
RAX_NET,coronal,2,1.1424999473492305,1.310074964205424
RAX_NET,coronal,3,1.6151695203118854,1.310074964205424
RAX_NET,coronal,4,2.1174305742316775,1.310074964205424
RAX_NET,coronal,5,0.7823830140961541,1.310074964205424
