Epoch,Time
1,489.18273854255676
2,465.4438898563385
3,465.43708968162537
4,465.42637634277344
5,465.33991718292236
6,465.30606031417847
7,465.1534938812256
8,465.31907844543457
9,465.39529728889465
10,465.34526205062866
11,465.37382793426514
12,465.39539217948914
13,465.14789843559265
14,465.31707191467285
15,465.3161344528198
16,465.35813164711
17,465.4299433231354
18,465.28460812568665
19,465.33037757873535
20,465.2561843395233
21,464.9725742340088
22,465.39514541625977
23,465.2719373703003
24,465.4057879447937
25,465.2687711715698
26,465.3954358100891
27,465.27415323257446
28,465.4776167869568
29,464.97820234298706
30,465.5965528488159
31,465.1604597568512
32,465.05656456947327
33,464.9635488986969
34,465.0366060733795
35,465.4145874977112
36,465.0252249240875
37,465.47179317474365
38,465.3657715320587
39,465.0938582420349
40,465.15044713020325
41,465.40404868125916
42,465.26481223106384
43,465.39007592201233
44,464.96327090263367
45,464.97466373443604
46,465.05796813964844
47,464.95189476013184
48,464.9594793319702
49,465.41258430480957
50,465.06084179878235
51,465.40764927864075
52,465.29787516593933
53,465.003454208374
54,465.43138337135315
55,465.1304636001587
56,464.8264675140381
57,464.97831439971924
58,464.94616055488586
59,464.9389133453369
60,464.86485171318054
61,465.07737278938293
62,464.93466091156006
63,465.0505259037018
64,464.94691276550293
65,465.02187514305115
66,464.9601933956146
67,465.26795649528503
68,464.96095728874207
69,465.03582668304443
70,465.3310270309448
71,464.94039130210876
72,464.9827787876129
73,464.9724977016449
74,465.4136703014374
75,464.94249057769775
76,465.0029058456421
77,465.5003652572632
78,465.31717324256897
79,465.054790019989
80,464.95960998535156
81,464.9051878452301
82,465.272127866745
83,465.0219883918762
84,465.1139991283417
85,464.8452191352844
86,464.8671736717224
87,464.7733476161957
88,465.1374559402466
89,465.41796827316284
90,464.83758068084717
91,465.3246657848358
92,464.8741431236267
93,465.05721402168274
94,465.4236705303192
95,465.0094690322876
96,465.42339873313904
97,465.2643277645111
98,465.0048985481262
99,464.8449008464813
100,464.9218096733093
101,465.0488655567169
102,464.99433159828186
103,465.04714798927307
104,464.8816719055176
105,464.8535602092743
106,464.8725287914276
107,464.7781114578247
108,464.97873091697693
109,464.54316878318787
110,464.5312783718109
111,464.81780338287354
112,464.45422744750977
113,464.42406368255615
114,464.90892148017883
115,464.4167501926422
116,464.4741585254669
117,464.32142901420593
118,464.52198100090027
119,464.37256360054016
120,464.6560163497925
121,464.4706234931946
122,464.5343050956726
123,464.3927562236786
124,464.9719822406769
125,464.9876778125763
126,464.5442545413971
127,464.6260349750519
128,464.55410504341125
129,464.99979734420776
130,464.63511204719543
131,464.4439628124237
132,464.539391040802
133,464.41942262649536
134,464.9099099636078
135,464.45860958099365
136,464.56162548065186
137,465.47991132736206
138,464.8468723297119
139,464.5102639198303
140,464.47260451316833
141,464.46976232528687
142,464.3681833744049
143,464.81927371025085
144,464.20143938064575
145,464.8597276210785
146,464.8474500179291
147,464.4579062461853
148,464.54739904403687
149,464.4534993171692
150,464.4885206222534
