loss,precision,recall,dice_coef,hausdorff_distance,val_loss,val_precision,val_recall,val_dice_coef,val_hausdorff_distance
0.4383287589737149,0.5334483081052557,0.738200968278702,0.5875004503182893,0.1103934689100052,0.3116573592258054,0.716250246347383,0.7072605231473612,0.7084044334500335,0.04848663236859233
0.4383287589737149,0.5334483081052557,0.738200968278702,0.5875004503182893,0.1103934689100052,0.3116573592258054,0.716250246347383,0.7072605231473612,0.7084044334500335,0.04848663236859233
0.2385355112337789,0.7012954125224158,0.8171858645455782,0.7521288127400154,0.0461401374534119,0.37836756373560704,0.8095898564471755,0.5965562408746675,0.6802059235960938,0.043206989765167236
0.19952519971790703,0.7399925816890806,0.850747575385626,0.7896279426508171,0.042055708442836306,0.33934949414674626,0.8460739928622578,0.6320496886275535,0.7185679651970087,0.04116097057974616
0.17966691584781158,0.7607536330472592,0.8676617880893308,0.8091298840073652,0.03964056171216937,0.24381882867147756,0.7242631169252618,0.7975639135338539,0.7559332445610402,0.04061443760644558
0.1652332916595908,0.7764727586923643,0.8796220755161241,0.8234922738962396,0.038049591012125794,0.2782055534595667,0.7996641699657884,0.7190432050893473,0.7537016705025074,0.038601072028625845
0.1535295443479405,0.788740815811379,0.8894061139849729,0.8350283046794492,0.03656282263569707,0.2521751292916231,0.7880435796671136,0.7568742122761039,0.7686377239781756,0.03826326538137225
0.14316193681470182,0.7994511205789655,0.8986008592123209,0.8450933819593385,0.03518259564068082,0.2522166288176248,0.7644702961278517,0.7659169130547102,0.7619777546372525,0.03899034250440986
0.13592457659542562,0.8084578999946284,0.9038929311342018,0.8527463576128317,0.034166386221037355,0.24622216481109,0.8043587601462076,0.7581069020337836,0.7772602050803429,0.036563932046640754
0.1259729210460602,0.8200826750245205,0.9117428119099418,0.862856253288513,0.03292745559064801,0.2765560541042062,0.8308157169541647,0.7116816724455634,0.7626938488594321,0.037863577746374666
0.12308185713928799,0.823886876813201,0.9139585429845855,0.8659746834705042,0.032624989806479494,0.23683899391529173,0.7700069629868795,0.7857641788416131,0.7745805510254793,0.03678676088362239
0.11988556674400042,0.8270425561555597,0.9167811449183975,0.8689808830965396,0.032187904878844355,0.2580329225506893,0.8023239873176398,0.7440887970979824,0.7684556760067164,0.03643478634225768
0.11208933225378048,0.8366846305686374,0.9227294343155484,0.8771434767301692,0.031042639753066523,0.25419952592184375,0.7946856587432152,0.7514365966929946,0.7696323896563331,0.03966486871589062
0.10809562596990618,0.8412914992071862,0.9260030175364294,0.8811928238286528,0.030483538391025262,0.23141966753227766,0.7821744533472283,0.7869118806927703,0.7814751342285511,0.038196640704260314
0.10512574433760588,0.8441100157970606,0.9286764137273611,0.8839892404717068,0.0301469846390361,0.25619085846945294,0.8149388579435126,0.7428631685500922,0.7736207235691159,0.03671608619218649
0.10240619483208933,0.8475680016501005,0.9307194471359252,0.8868436557608982,0.029910064547127763,0.2554378840812417,0.819366820468459,0.74146537863931,0.7749091603035151,0.037613440668860146
0.10116897701870563,0.848780875774317,0.9319617009440134,0.8880131591891134,0.029653811188371376,0.22504393257373986,0.7963953506114871,0.7894865260567776,0.7904111169105352,0.0369232056099315
0.09563987858940003,0.8555720515029375,0.9361736854841542,0.8937387126822804,0.028750602236060904,0.2629027113664982,0.813394195811693,0.7360121225201807,0.7695139826730241,0.03727569337501082
0.09403151839451734,0.8574086142140765,0.9374962315309879,0.89536687239658,0.02860459714997993,0.282456030055534,0.8318795351094977,0.7053801359132279,0.7592798011247501,0.03783234585683013
0.09177542723455401,0.8601713330246682,0.9392306433860645,0.8976916922386302,0.02818165503139066,0.24916143583696942,0.8106933815534725,0.7536775943844818,0.7774793408637823,0.03668440343855425
0.08810882827397003,0.8641077699356301,0.9423786386500957,0.9013039862000665,0.027672108672126088,0.24461005641970524,0.7986242665800938,0.7640761225722557,0.7783418394798456,0.03815288433675156
0.09029755993031485,0.8614647852126942,0.9406990957121516,0.8990719730077787,0.028236108920861817,0.24711662108121915,0.8196601573811021,0.7531492443971856,0.7822256091029145,0.036499733087974925
0.08486188619375921,0.8682390423015106,0.9448904682037442,0.9047299674777097,0.027112777383868084,0.25542200623556627,0.8163925686547923,0.7440342129662979,0.7750445069268692,0.036735093645578205
0.08512845079652792,0.8675821384718252,0.9448336304620255,0.9043211163476456,0.027191087779004215,0.25149218647979027,0.8134570484937623,0.7510491168776224,0.7775189100309859,0.03643518545080063
0.08275474189065916,0.8697827258082323,0.9470361815635548,0.9065609779468803,0.026830078252093045,0.27241758413093037,0.8202164993729703,0.7233995175638864,0.7645064231961273,0.036397810540227005
0.07961578514686851,0.8729095084029574,0.949911288327949,0.9095986025971036,0.026114086105033407,0.2627276632674905,0.8452533051025036,0.7262683183647866,0.7781814985497053,0.03642433374080547
0.07778193857087645,0.8754661942637244,0.9511416155238485,0.9115642297406529,0.025805239271112654,0.2474539025578388,0.8074970472690671,0.7575459161470103,0.7784279379733773,0.036810795079137
0.07982751190835653,0.8724053250495778,0.9498588687458703,0.9092826981184094,0.026278468988142734,0.24799289391484372,0.8197741927102554,0.7531508038210314,0.782183360221774,0.03542740986097691
0.07575410943218441,0.8775868781777315,0.9529140920140022,0.9135446572719619,0.025400532132317855,0.25299528670865434,0.8024260229842607,0.7530187021854312,0.7733880081842112,0.03727273688933184
0.07336211479160674,0.8803006865257441,0.9549255507629971,0.9159622571496077,0.024923892910483966,0.24612679606260254,0.8049163790636285,0.7619113079337186,0.7793282910834911,0.03562400289053141
