loss,precision,recall,dice_coef,hausdorff_distance,val_loss,val_precision,val_recall,val_dice_coef,val_hausdorff_distance
0.4346192515866701,0.49604935380955073,0.6758826358417093,0.5430192209065481,0.08341914761681543,0.33602726071379907,0.5051878976267438,0.7752044062281764,0.6082603698553041,0.04792094568527022
0.4346192515866701,0.49604935380955073,0.6758826358417093,0.5430192209065481,0.08341914761681543,0.33602726071379907,0.5051878976267438,0.7752044062281764,0.6082603698553041,0.04792094568527022
0.26677407234214073,0.6641368701014407,0.7735568021619043,0.7107357387625894,0.040801038772820736,0.44477042458778204,0.5551358616629313,0.5659367746391962,0.5518031629019006,0.05391411148878031
0.22512912466082463,0.6992847133514493,0.8167858763489613,0.7507421285607094,0.03668112704790262,0.29986673399459485,0.6588106708471165,0.7254309174626372,0.6862598568894143,0.0389140417322863
0.20034332448659942,0.7257632006046384,0.8395412581604581,0.7763122523246809,0.033861656922327225,0.26391249312910925,0.6786976456642151,0.7678774739420691,0.7176953116128612,0.037076324597001074
0.18471618558085243,0.7429115589967994,0.8536797083394472,0.7925775837066562,0.03200380321765362,0.39407174115957216,0.4554994423722112,0.7136368594890417,0.5535967794961707,0.12391331428012183
0.17558673315270001,0.75237932257181,0.8625089200430138,0.8018177539803261,0.030980474189963452,0.31377039842827376,0.8227645031241484,0.6442713971747909,0.7186502683994382,0.034255978248493614
0.16575061429378599,0.7642868503581646,0.8705869475769442,0.812470751169116,0.029641528130877157,0.2465538454610248,0.7481338035228641,0.758930896326553,0.7509499477785687,0.03406364180494186
0.15888833666956703,0.7728554808123167,0.8762677110211794,0.8199388103429661,0.028654245745260702,0.2615856680759164,0.7470247110655142,0.7385890087416006,0.7395827138146689,0.03552833380567473
0.1511116372291432,0.7792639794737793,0.8844879966835643,0.8273450424504835,0.027423736440061137,0.2328399799590887,0.77490928422573,0.7673897984415986,0.7682156765183737,0.03027485785789268
0.1427491967068162,0.7915601673514344,0.8903730559487676,0.8370383511449015,0.02623593182909454,0.24507099140522093,0.7496713175330051,0.761922458715217,0.7518455242001734,0.031061912847812786
0.13773226273614306,0.7974699408509011,0.8947855616031691,0.8423642423956893,0.025395053747478268,0.2255065308060757,0.7604418912599253,0.7844224308812341,0.7692817125209542,0.030067829675106114
0.13296496930510499,0.8006638077802436,0.9002596606348836,0.8466945668985677,0.024771238277601294,0.23598327331764754,0.7579182317090589,0.7709558021190555,0.7608842153881872,0.03245357430085193
0.12978558013605518,0.8067973768295243,0.9017849789109341,0.8508179898178855,0.02425581442495418,0.28233174446017245,0.8155688967815665,0.6864378259625545,0.7414287276046221,0.03168698864620785
0.12355845140856365,0.8146320765101632,0.9069173087214315,0.8576033932525058,0.02323463409272737,0.2543088901874631,0.7288283517194348,0.7579098287016847,0.7392387173896612,0.03374232824805171
