epoch;dice_coef;hausdorff_distance;loss;precision;recall;val_dice_coef;val_hausdorff_distance;val_loss;val_precision;val_recall
0;0.4308609962463379;0.08564713597297668;0.801477313041687;0.48176729679107666;0.43298253417015076;0.3052248954772949;0.0610630139708519;0.8862852454185486;0.36585479974746704;0.7518612742424011
1;0.6220090389251709;0.05336037650704384;0.5329152941703796;0.6711130738258362;0.612898051738739;0.2698889374732971;0.08339948207139969;0.9321237206459045;0.25617650151252747;0.7709904313087463
2;0.6580204367637634;0.04959612712264061;0.4841027557849884;0.7103719115257263;0.6419664025306702;0.48758214712142944;0.05049552395939827;0.7693935632705688;0.482626736164093;0.8638594746589661
3;0.7044857144355774;0.04558830335736275;0.4202069938182831;0.7483333349227905;0.6884493827819824;0.675879180431366;0.04362544044852257;0.7316552996635437;0.7438808679580688;0.7944045066833496
4;0.7216339707374573;0.04443325102329254;0.39753854274749756;0.7589889764785767;0.710229218006134;0.6041677594184875;0.04389692842960358;0.7359878420829773;0.5987421274185181;0.8772644996643066
5;0.7334612011909485;0.04344537481665611;0.3868868350982666;0.7697583436965942;0.7212281823158264;0.784968376159668;0.04418611153960228;0.7603362798690796;0.89956134557724;0.7604577541351318
6;0.7632772326469421;0.040411293506622314;0.34081801772117615;0.7961605191230774;0.7486533522605896;0.7698214054107666;0.041215527802705765;0.6864665150642395;0.8412391543388367;0.8128058910369873
7;0.7635102868080139;0.04013242945075035;0.3383260667324066;0.7948559522628784;0.7508928775787354;0.3905302584171295;0.045733217149972916;0.7461812496185303;0.4501796066761017;0.8134528994560242
8;0.7703924775123596;0.039776019752025604;0.3299705386161804;0.7985300421714783;0.7600805163383484;0.5135493278503418;0.0455300472676754;0.7679818868637085;0.6104294061660767;0.76438969373703
9;0.7804595828056335;0.03806523606181145;0.3148225247859955;0.8083614706993103;0.7690116167068481;0.7916504740715027;0.038356050848960876;0.5872189402580261;0.8469126224517822;0.8351291418075562
10;0.7943120002746582;0.03739934787154198;0.29622119665145874;0.8209503293037415;0.7808680534362793;0.509691059589386;0.04023439437150955;0.6888356804847717;0.5127125382423401;0.8862435817718506
11;0.7930066585540771;0.0369226299226284;0.29377076029777527;0.8187411427497864;0.7804616689682007;0.7225497364997864;0.03930108621716499;0.6768739223480225;0.7822808623313904;0.823171079158783
12;0.8025389313697815;0.03608769178390503;0.28268566727638245;0.8292743563652039;0.788140594959259;0.7822517156600952;0.038207244127988815;0.5824844837188721;0.8514453768730164;0.824409544467926
13;0.7994820475578308;0.03621493652462959;0.28511399030685425;0.8243891596794128;0.7878569960594177;0.7440043091773987;0.037750549614429474;0.6199194192886353;0.7775484323501587;0.852001965045929
14;0.8008694052696228;0.03594913333654404;0.28337547183036804;0.8240206241607666;0.7909120321273804;0.4774337112903595;0.042156193405389786;0.7447426915168762;0.5480526089668274;0.7890186309814453
15;0.8139166831970215;0.034768521785736084;0.26840904355049133;0.836553156375885;0.8019291162490845;0.7403272986412048;0.03699051961302757;0.6140681505203247;0.8025233149528503;0.8273319005966187
16;0.8186423182487488;0.03410462662577629;0.26017752289772034;0.8410067558288574;0.8065899014472961;0.6801890730857849;0.03736932948231697;0.6567787528038025;0.7149341702461243;0.8554931879043579
17;0.8197599053382874;0.03399405628442764;0.2583979666233063;0.8402130603790283;0.808941662311554;0.7461006045341492;0.039548665285110474;0.6587197184562683;0.837237536907196;0.7933602929115295
18;0.81735759973526;0.03412128984928131;0.260318785905838;0.8381735682487488;0.8062371015548706;0.760891318321228;0.038847751915454865;0.6608383059501648;0.8516937494277954;0.7884464263916016
19;0.8240675926208496;0.03336119279265404;0.2525264024734497;0.8441277146339417;0.8124656677246094;0.708855152130127;0.03586704283952713;0.5980079770088196;0.731935977935791;0.8703525066375732
20;0.8225749135017395;0.03311317414045334;0.2533571720123291;0.8434435725212097;0.8113389015197754;0.5107634663581848;0.03934602439403534;0.6808988451957703;0.5381637811660767;0.8585014939308167
21;0.8282326459884644;0.032605014741420746;0.2459692656993866;0.8477440476417542;0.8173810839653015;0.6796785593032837;0.03589724376797676;0.6290598511695862;0.7098273634910583;0.8616651892662048
22;0.825773298740387;0.03264162689447403;0.24809107184410095;0.8462563157081604;0.8148205280303955;0.8015137910842896;0.03860575333237648;0.6407418847084045;0.8855891227722168;0.7966508865356445
23;0.8285834193229675;0.03235384821891785;0.24617689847946167;0.8492313623428345;0.8170039057731628;0.6672722101211548;0.0361146479845047;0.6612865924835205;0.6971656084060669;0.8587269186973572
24;0.8318706154823303;0.03188178315758705;0.24203242361545563;0.8522163033485413;0.82015061378479;0.7786880135536194;0.03991902247071266;0.6410847306251526;0.8556216359138489;0.7989408373832703
25;0.8338525295257568;0.031869400292634964;0.23846480250358582;0.8527852892875671;0.8229393362998962;0.7262170314788818;0.035929616540670395;0.6269477605819702;0.7921604514122009;0.8230632543563843
26;0.8323011994361877;0.03160007297992706;0.2392919659614563;0.8521952033042908;0.8207237124443054;0.7801828980445862;0.035249900072813034;0.5492340922355652;0.8273304104804993;0.8439493775367737
27;0.839672863483429;0.03113499842584133;0.23113161325454712;0.8571472764015198;0.8290665149688721;0.6359761953353882;0.03658473491668701;0.6645452380180359;0.6820018887519836;0.8347988128662109
28;0.8344912528991699;0.031487226486206055;0.23619277775287628;0.8532230854034424;0.8242983818054199;0.7014145255088806;0.035784244537353516;0.6434401273727417;0.7419682741165161;0.846473753452301
29;0.8385186195373535;0.03100747801363468;0.23156750202178955;0.8569331765174866;0.8273423314094543;0.5819137096405029;0.03744230791926384;0.6728264093399048;0.6204923987388611;0.8449609279632568
30;0.8386175632476807;0.031062651425600052;0.23169539868831635;0.8574677109718323;0.8288194537162781;0.6672126650810242;0.035179559141397476;0.626449704170227;0.6995514631271362;0.8617010116577148
