Epoch,Time
1,1075.3754923343658
2,1035.3834309577942
3,1035.4775002002716
4,1034.020340204239
5,1034.0018572807312
6,1035.4099185466766
7,1034.182204246521
8,1034.3167610168457
9,1034.0511319637299
10,1034.018455028534
11,1033.8875987529755
12,1033.728452205658
13,1034.0737841129303
14,1033.8051755428314
15,1033.9237332344055
16,1035.4953014850616
17,1033.8203854560852
18,1033.864003419876
19,1033.2236256599426
20,1033.0093245506287
21,1033.1938483715057
22,1033.1480643749237
23,1033.1187479496002
24,1034.7711746692657
25,1033.3596048355103
26,1033.2336683273315
27,1033.196030139923
28,1034.7155673503876
29,1033.3654618263245
30,1033.5754063129425
31,1033.471705198288
32,1033.2217507362366
33,1033.2991797924042
34,1033.4120683670044
35,1033.252923488617
36,1033.25457239151
37,1033.3058552742004
38,1032.8997106552124
