,dice,presision,recall
before_mean,0.844708587728421,0.9096819296315788,0.874405462696842
before_std,0.2613304979433592,0.1356579608290743,0.2632685069937738
after_mean,0.8849114692421052,0.9144554195789474,0.9027974700842106
after_std,0.1823462595444309,0.11705987746210413,0.1938570105725603
difference,-0.04020288151368423,-0.004773489947368592,-0.02839200738736858
