epoch;dice_coef;hausdorff_distance;loss;precision;recall;val_dice_coef;val_hausdorff_distance;val_loss;val_precision;val_recall
7;0.006654949393123388;0.18576079607009888;0.023473622277379036;0.9967635869979858;0.00665495777502656;0.46215134859085083;0.18369734287261963;0.022473778575658798;0.9360858798027039;0.5003676414489746
96;0.006310328375548124;0.15876582264900208;0.02277190238237381;1.0;0.006310328375548124;0.5003676414489746;0.16040049493312836;0.02207869663834572;1.0;0.5003676414489746
8;0.004982214421033859;0.18380102515220642;0.02342562936246395;0.997383713722229;0.004982218611985445;0.46174126863479614;0.1823524832725525;0.022430261597037315;0.93215411901474;0.5003676414489746
97;0.00478187995031476;0.15836215019226074;0.022770537063479424;1.0;0.00478187995031476;0.5003676414489746;0.16071420907974243;0.022082872688770294;1.0;0.5003676414489746
9;0.007398593705147505;0.18268591165542603;0.02336527407169342;0.9989340901374817;0.007398596033453941;0.461518794298172;0.1813410222530365;0.02240397408604622;0.9335323572158813;0.5003676414489746
98;0.0072349547408521175;0.15845106542110443;0.02277538552880287;1.0;0.0072349547408521175;0.5003676414489746;0.15965580940246582;0.022073140367865562;1.0;0.5003676414489746
10;0.0052976226434111595;0.18133579194545746;0.02333521656692028;0.9987402558326721;0.005297623574733734;0.4653434455394745;0.17970064282417297;0.022376202046871185;0.9383772611618042;0.5003676414489746
99;0.006848400924354792;0.15834592282772064;0.022757986560463905;1.0;0.006848400924354792;0.5003676414489746;0.1606859713792801;0.02208445407450199;1.0;0.5003676414489746
11;0.006673365365713835;0.1801576465368271;0.02330058254301548;0.9992489814758301;0.006673365831375122;0.45593583583831787;0.179872065782547;0.022372616454958916;0.9223055839538574;0.5003676414489746
100;0.005935150198638439;0.15817594528198242;0.02276785857975483;1.0;0.005935150198638439;0.5003676414489746;0.15975692868232727;0.022067293524742126;1.0;0.5003676414489746
12;0.004868697375059128;0.17919525504112244;0.02329079806804657;0.9995639324188232;0.004868697375059128;0.4577365219593048;0.17914950847625732;0.02235681191086769;0.9251328706741333;0.5003676414489746
101;0.006356405094265938;0.15816478431224823;0.0227641798555851;1.0;0.006356405094265938;0.5003676414489746;0.16050805151462555;0.022079389542341232;1.0;0.5003676414489746
13;0.004747739993035793;0.17864421010017395;0.02325361780822277;0.9997093081474304;0.004747739993035793;0.46014901995658875;0.17846141755580902;0.022336242720484734;0.9308977127075195;0.5003676414489746
102;0.0053193224593997;0.1580590009689331;0.022760482504963875;1.0;0.0053193224593997;0.5003676414489746;0.15953178703784943;0.022074680775403976;1.0;0.5003676414489746
14;0.007197358645498753;0.17769363522529602;0.023223552852869034;0.999660849571228;0.007197358645498753;0.4593818783760071;0.17706890404224396;0.022320309653878212;0.9269282817840576;0.5003676414489746
103;0.0072683715261518955;0.15782491862773895;0.022746827453374863;1.0;0.0072683715261518955;0.5003676414489746;0.16038139164447784;0.022076528519392014;1.0;0.5003676414489746
15;0.004720339085906744;0.17690736055374146;0.023227320984005928;1.0;0.004720339085906744;0.46305471658706665;0.1766371726989746;0.022311080247163773;0.9363466501235962;0.5003676414489746
104;0.004581400193274021;0.15770293772220612;0.02274533174932003;1.0;0.004581400193274021;0.5003676414489746;0.16025392711162567;0.02207639254629612;1.0;0.5003676414489746
16;0.007201484404504299;0.17628467082977295;0.023197496309876442;0.9998546242713928;0.007201484404504299;0.45531657338142395;0.17656941711902618;0.022310420870780945;0.9209174513816833;0.5003676414489746
105;0.00587663147598505;0.15806590020656586;0.022748494520783424;1.0;0.00587663147598505;0.5003676414489746;0.159234419465065;0.02205723337829113;1.0;0.5003676414489746
17;0.004456101916730404;0.17561392486095428;0.023181457072496414;0.9998546242713928;0.004456101916730404;0.4706391394138336;0.17581436038017273;0.02229180373251438;0.9491989612579346;0.5003676414489746
106;0.005316609051078558;0.15748357772827148;0.02275153622031212;1.0;0.005316609051078558;0.5003676414489746;0.15938736498355865;0.022061282768845558;1.0;0.5003676414489746
18;0.007367504294961691;0.1748833805322647;0.02315668761730194;1.0;0.007367504294961691;0.4676710367202759;0.1752021610736847;0.02227528765797615;0.9403693675994873;0.5003676414489746
107;0.007026440463960171;0.15729773044586182;0.022732645273208618;1.0;0.007026440463960171;0.5003676414489746;0.15970805287361145;0.022063683718442917;1.0;0.5003676414489746
19;0.006358332931995392;0.1745164841413498;0.023154230788350105;1.0;0.006358332931995392;0.468964546918869;0.17359842360019684;0.022265616804361343;0.9411398768424988;0.5003676414489746
108;0.0056597087532281876;0.15731698274612427;0.022732343524694443;1.0;0.0056597087532281876;0.5003676414489746;0.15999679267406464;0.022064806893467903;1.0;0.5003676414489746
20;0.006284939590841532;0.17376594245433807;0.023121777921915054;0.9998546242713928;0.006284939590841532;0.46847328543663025;0.17509309947490692;0.022277789190411568;0.9394933581352234;0.5003676414489746
109;0.0069920457899570465;0.15747685730457306;0.022745857015252113;1.0;0.0069920457899570465;0.5003676414489746;0.15897567570209503;0.022051705047488213;1.0;0.5003676414489746
21;0.00777073809877038;0.17343157529830933;0.023116381838917732;1.0;0.00777073809877038;0.4646386504173279;0.17530763149261475;0.022275405004620552;0.9321276545524597;0.5003676414489746
110;0.006209205836057663;0.15715157985687256;0.022743165493011475;1.0;0.006209205836057663;0.5003676414489746;0.1583346277475357;0.022046485915780067;1.0;0.5003676414489746
22;0.005532765761017799;0.17303584516048431;0.02310558408498764;1.0;0.005532765761017799;0.47480836510658264;0.1729869693517685;0.022244079038500786;0.9543406367301941;0.5003676414489746
111;0.0059862639755010605;0.15723171830177307;0.022732043638825417;1.0;0.0059862639755010605;0.5003676414489746;0.1594667136669159;0.02205640822649002;1.0;0.5003676414489746
112;0.004746044985949993;0.15676887333393097;0.022722771391272545;1.0;0.004746044985949993;0.5003676414489746;0.15887703001499176;0.02205750159919262;1.0;0.5003676414489746
23;0.007107796147465706;0.1722474992275238;0.023094797506928444;1.0;0.007107796147465706;0.47771155834198;0.1725599616765976;0.02223777584731579;0.9620886445045471;0.5003676414489746
113;0.005059462506324053;0.1569136530160904;0.02272948808968067;1.0;0.005059462506324053;0.5003676414489746;0.1582621932029724;0.02204880677163601;1.0;0.5003676414489746
24;0.00650964118540287;0.1721271276473999;0.023078355938196182;1.0;0.00650964118540287;0.4770675599575043;0.17200039327144623;0.022234389558434486;0.9599124193191528;0.5003676414489746
