Epoch,Time
1,891.4020886421204
2,850.348340511322
3,849.7947473526001
4,851.3361582756042
5,849.8887372016907
6,850.8179783821106
7,850.3495738506317
8,850.3053319454193
9,850.0766611099243
10,850.9810726642609
11,851.236973285675
12,850.5518870353699
13,850.7045049667358
14,850.7411551475525
15,849.4243588447571
16,849.3337302207947
17,849.6290276050568
18,849.5003514289856
19,849.2246994972229
20,850.5703394412994
21,849.5262458324432
22,850.7834684848785
23,849.2866644859314
24,849.3522846698761
25,849.6151330471039
26,849.3907387256622
27,848.7743828296661
28,848.8652329444885
29,848.9874789714813
30,849.2066113948822
31,849.1879549026489
32,848.9061899185181
33,849.006493806839
34,848.9775021076202
35,848.989497423172
36,850.3898432254791
37,848.8210482597351
38,848.9340295791626
39,848.9259207248688
40,849.5745730400085
41,848.8721449375153
42,848.852931022644
43,849.1332001686096
44,848.8313066959381
45,849.3803741931915
46,849.3689074516296
47,849.1146552562714
48,848.9299976825714
49,849.0824584960938
50,849.0285890102386
51,849.0782573223114
52,850.0116331577301
53,848.5442156791687
54,848.5026657581329
55,849.0287239551544
56,848.8347070217133
57,849.135106086731
58,848.7762711048126
59,848.8329980373383
60,848.8811619281769
61,849.0031995773315
62,849.05677485466
63,848.9472010135651
64,848.9194130897522
65,848.9269599914551
66,848.7063286304474
67,849.0215420722961
68,849.035484790802
69,848.9331781864166
70,848.8904535770416
71,848.9203243255615
72,848.8546695709229
