epoch;dice_coef;hausdorff_distance;loss;precision;recall;val_dice_coef;val_hausdorff_distance;val_loss;val_precision;val_recall
0;0.4488983452320099;0.08451340347528458;0.7709773778915405;0.49765482544898987;0.4547783136367798;0.2946382462978363;0.08083371073007584;0.883028507232666;0.26257529854774475;0.8425100445747375
1;0.627492368221283;0.05206792429089546;0.5301851630210876;0.6756514310836792;0.6177568435668945;0.7075045704841614;0.0470777228474617;0.7771584987640381;0.7779090404510498;0.7981578707695007
2;0.6763293743133545;0.04829893633723259;0.4619775712490082;0.716573178768158;0.6680920124053955;0.6033177375793457;0.0460873506963253;0.7364275455474854;0.660835325717926;0.8268268704414368
3;0.7056429386138916;0.045226819813251495;0.4208275377750397;0.7463907599449158;0.6924378275871277;0.4728691875934601;0.04558229073882103;0.7262704372406006;0.5004958510398865;0.8610065579414368
4;0.7336028218269348;0.04298952594399452;0.3826601505279541;0.7656446695327759;0.7245299816131592;0.43010494112968445;0.04774099215865135;0.7318626046180725;0.4251757562160492;0.8846486806869507
5;0.7489708065986633;0.04114215448498726;0.3602392375469208;0.7782256603240967;0.7400773167610168;0.7125295400619507;0.040695302188396454;0.6691878437995911;0.7511991262435913;0.8614262342453003
6;0.7616779208183289;0.039880141615867615;0.34385767579078674;0.7922109365463257;0.7502976059913635;0.6976880431175232;0.04257167875766754;0.7003021836280823;0.7106067538261414;0.868961751461029
7;0.7724851965904236;0.038823097944259644;0.3255869746208191;0.7987509965896606;0.7619524002075195;0.5122880339622498;0.04431451857089996;0.709213376045227;0.5003210306167603;0.8949063420295715
8;0.781108558177948;0.03815367445349693;0.31362855434417725;0.8068828582763672;0.77127605676651;0.6542169451713562;0.04125902056694031;0.6973280310630798;0.7404718995094299;0.8134361505508423
9;0.7825570702552795;0.03735372796654701;0.3084721267223358;0.8079148530960083;0.7718967795372009;0.7824747562408447;0.03906423971056938;0.6214904189109802;0.8347587585449219;0.8520187735557556
10;0.7982907891273499;0.03623325750231743;0.2891460061073303;0.821780800819397;0.787376344203949;0.5831436514854431;0.041071146726608276;0.6671470403671265;0.5880143046379089;0.8937881588935852
11;0.8009475469589233;0.03553853556513786;0.2831991910934448;0.8256962299346924;0.7898169159889221;0.5555510520935059;0.041510261595249176;0.6704749464988708;0.5828291773796082;0.8711036443710327
12;0.8023841977119446;0.03545800596475601;0.2813853919506073;0.823432981967926;0.794506311416626;0.5858463048934937;0.039238881319761276;0.6408401131629944;0.6092268228530884;0.8807247281074524
13;0.8087397813796997;0.034798599779605865;0.2731076776981354;0.8300666809082031;0.7993674874305725;0.4664677083492279;0.04148104786872864;0.6682695746421814;0.4750811457633972;0.8925199508666992
14;0.8035818338394165;0.03496882691979408;0.2785875201225281;0.8259928226470947;0.7952442169189453;0.5947811603546143;0.03919009119272232;0.656402587890625;0.6469221115112305;0.8500303030014038
15;0.819125235080719;0.03359607607126236;0.2599944770336151;0.8374273777008057;0.8105531334877014;0.5070219039916992;0.04059793800115585;0.6677733063697815;0.5419180393218994;0.8631828427314758
16;0.8226626515388489;0.03308923542499542;0.2542736232280731;0.8399066925048828;0.8145672678947449;0.5426426529884338;0.038950201123952866;0.6628057360649109;0.559518039226532;0.8881655931472778
17;0.8262216448783875;0.03298414498567581;0.24877741932868958;0.8451346755027771;0.8156719207763672;0.691866397857666;0.03795436769723892;0.6255808472633362;0.7310471534729004;0.8650426268577576
18;0.821596086025238;0.03308424726128578;0.25338175892829895;0.8411977291107178;0.811839759349823;0.5816428065299988;0.037978120148181915;0.6291244029998779;0.598904013633728;0.8887086510658264
19;0.8257818222045898;0.032805606722831726;0.2495308816432953;0.8440954089164734;0.8166635632514954;0.5117797255516052;0.04119987040758133;0.650635838508606;0.5299519896507263;0.8826034665107727
20;0.8301904201507568;0.03199703246355057;0.24397753179073334;0.8473917245864868;0.8210863471031189;0.5945827960968018;0.03749655932188034;0.619852602481842;0.6136629581451416;0.8882331848144531
21;0.833795428276062;0.03182855620980263;0.23832346498966217;0.8518375158309937;0.8238298892974854;0.6722754240036011;0.037111829966306686;0.6123921871185303;0.6949430108070374;0.8860372304916382
22;0.8251038789749146;0.032560497522354126;0.24888761341571808;0.843020498752594;0.8168655037879944;0.626839280128479;0.03726405277848244;0.6220715641975403;0.6618327498435974;0.8727489113807678
23;0.8343966603279114;0.03159164637327194;0.2393081784248352;0.8500435948371887;0.8271149396896362;0.6962143182754517;0.03682192042469978;0.6208090782165527;0.7208510041236877;0.8817986249923706
24;0.8371660113334656;0.031393054872751236;0.2356012761592865;0.8549214005470276;0.8280107378959656;0.5525497198104858;0.038681596517562866;0.649391770362854;0.5580586194992065;0.8986817598342896
25;0.8401084542274475;0.031261641532182693;0.2308734804391861;0.8573079109191895;0.8302609324455261;0.6008634567260742;0.03677280992269516;0.626950740814209;0.6138116717338562;0.893612265586853
26;0.832271933555603;0.031775396317243576;0.24028025567531586;0.8487473130226135;0.8248569965362549;0.56914883852005;0.03761623427271843;0.6181021332740784;0.5963428020477295;0.881093442440033
27;0.8337517976760864;0.03150985389947891;0.23869027197360992;0.8495590090751648;0.8264332413673401;0.5866147875785828;0.03770294785499573;0.5834892392158508;0.6080238223075867;0.885785698890686
28;0.8407812714576721;0.030678462237119675;0.23072658479213715;0.8582264184951782;0.8320018649101257;0.5593376159667969;0.03734553977847099;0.6551719903945923;0.5913620591163635;0.8668501973152161
29;0.8400267958641052;0.030501186847686768;0.23069371283054352;0.8555850982666016;0.8328514099121094;0.5997776389122009;0.03629308566451073;0.6380483508110046;0.6199477910995483;0.888966977596283
